08:49:41, 719225381, 10.87, 99787.09, -15.83, 0.35, 0.06, 4.97, 0, 0, 0, 0
08:49:42, 719225382, 10.87, 99784.98, -15.66, 0.18, 0.04, 4.96, 0, 0, 0, 0
08:49:43, 719225383, 10.88, 99785.91, -15.73, -0.08, 0.00, 4.97, 0, 0, 0, 0
08:49:44, 719225384, 10.87, 99785.59, -15.71, 0.03, 0.02, 4.96, 0, 0, 0, 0
08:49:45, 719225385, 10.86, 99785.03, -15.66, 0.05, 0.03, 4.96, 0, 0, 0, 0
08:49:46, 719225386, 10.87, 99788.95, -15.99, -0.33, -0.03, 4.96, 0, 0, 0, 0
08:49:47, 719225387, 10.87, 99785.81, -15.73, 0.27, 0.05, 4.96, 0, 0, 0, 0
08:49:48, 719225388, 10.87, 99781.46, -15.36, 0.37, 0.07, 4.96, 0, 0, 0, 0
08:49:49, 719225389, 10.88, 99785.30, -15.68, -0.32, -0.03, 4.96, 0, 0, 0, 0
08:49:50, 719225390, 10.88, 99784.30, -15.60, 0.08, 0.03, 4.96, 0, 0, 0, 0
08:49:51, 719225391, 10.89, 99783.44, -15.52, 0.07, 0.03, 4.97, 0, 0, 0, 0
08:49:52, 719225392, 10.89, 99786.02, -15.74, -0.22, -0.01, 4.96, 0, 0, 0, 0
08:49:53, 719225393, 10.89, 99785.69, -15.72, 0.03, 0.02, 4.97, 0, 0, 0, 0
08:49:54, 719225394, 10.90, 99789.66, -16.05, -0.34, -0.05, 4.96, 0, 0, 0, 0
08:49:55, 719225395, 10.90, 99787.03, -15.83, 0.22, 0.04, 4.97, 0, 0, 0, 0
08:49:56, 719225396, 10.90, 99788.83, -15.98, -0.15, -0.02, 4.97, 0, 0, 0, 0
08:49:57, 719225397, 10.91, 99789.25, -16.02, -0.04, -0.01, 4.96, 0, 0, 0, 0
08:49:58, 719225398, 10.91, 99787.95, -15.91, 0.11, 0.02, 4.96, 0, 0, 0, 0
08:49:59, 719225399, 10.91, 99791.92, -16.24, -0.34, -0.06, 4.96, 0, 0, 0, 0
08:50:00, 719225400, 10.91, 99789.14, -16.01, 0.23, 0.03, 4.96, 0, 0, 0, 0
08:50:01, 719225401, 10.92, 99787.36, -15.86, 0.15, 0.02, 4.97, 0, 0, 0, 0
08:50:02, 719225402, 10.93, 99788.50, -15.95, -0.10, -0.02, 4.96, 0, 0, 0, 0
08:50:03, 719225403, 10.93, 99786.52, -15.79, 0.17, 0.03, 4.96, 0, 0, 0, 0
08:50:04, 719225404, 10.93, 99790.19, -16.13, -0.34, -0.06, 4.97, 0, 0, 0, 0
08:50:05, 719225405, 10.93, 99787.14, -15.78, 0.35, 0.06, 4.96, 0, 0, 0, 0
08:50:06, 719225406, 10.94, 99785.80, -15.76, 0.02, 0.01, 4.97, 0, 0, 0, 0
08:50:07, 719225407, 10.95, 99784.34, -15.61, 0.15, 0.03, 4.97, 0, 0, 0, 0
08:50:08, 719225408, 10.95, 99783.25, -15.51, 0.10, 0.03, 4.97, 0, 0, 0, 0
08:50:10, 719225410, 10.96, 99786.31, -15.77, -0.13, -0.01, 4.96, 0, 0, 0, 0
08:50:11, 719225411, 10.96, 99783.14, -15.50, 0.27, 0.06, 4.97, 0, 0, 0, 0
08:50:12, 719225412, 10.96, 99783.28, -15.51, -0.01, 0.02, 4.96, 0, 0, 0, 0
08:50:13, 719225413, 10.97, 99784.45, -15.61, -0.10, 0.00, 4.97, 0, 0, 0, 0
08:50:14, 719225414, 10.97, 99782.98, -15.49, 0.12, 0.04, 4.96, 0, 0, 0, 0
08:50:15, 719225415, 10.97, 99782.66, -15.46, 0.03, 0.02, 4.97, 0, 0, 0, 0
08:50:16, 719225416, 10.98, 99784.21, -15.59, -0.13, 0.00, 4.96, 0, 0, 0, 0
08:50:17, 719225417, 10.99, 99786.20, -15.76, -0.17, -0.01, 4.96, 0, 0, 0, 0
08:50:18, 719225418, 10.98, 99784.08, -15.58, 0.18, 0.04, 4.96, 0, 0, 0, 0
08:50:19, 719225419, 10.99, 99785.03, -15.66, -0.08, 0.00, 4.97, 0, 0, 0, 0
08:50:20, 719225420, 11.00, 99785.95, -15.74, -0.08, -0.00, 4.96, 0, 0, 0, 0
08:50:21, 719225421, 11.01, 99788.36, -15.94, -0.20, -0.03, 4.97, 0, 0, 0, 0
08:50:22, 719225422, 11.01, 99791.84, -16.24, -0.29, -0.05, 4.96, 0, 0, 0, 0
08:50:23, 719225423, 11.00, 99792.87, -16.32, -0.09, -0.02, 4.96, 0, 0, 0, 0
08:50:24, 719225424, 11.03, 99790.34, -16.11, 0.21, 0.02, 4.97, 0, 0, 0, 0
