Time (s),Altitude,Controller Output,Ascent Rate (m/s),Filtered Ascent Rate (m/s)
2960,21900773,0,4210,5055
2961,21905308,1,4535,5043
2962,21910852,0,5544,5052
2963,21915153,1,4301,5036
2964,21919447,0,4294,5020
2965,21923617,1,4170,5002
2966,21927058,0,3441,4969
2967,21929494,1,2436,4917
2968,21936472,0,6978,4957
2969,21941216,1,4744,4951
2970,21946709,0,5493,4960
2971,21951252,1,4543,4950
2972,21955681,0,4429,4939
2973,21962516,1,6835,4976
2974,21967417,0,4901,4974
2975,21970165,1,2748,4928
2976,21977199,0,7034,4969
2977,21980297,1,3098,4930
2978,21983754,0,3457,4900
2979,21988337,1,4583,4893
2980,21992738,0,4401,4883
2981,22000529,1,7791,4940
2982,22006132,0,5603,4953
2983,22014020,1,7888,5010
2984,22020040,0,6020,5029
2985,22025149,1,5109,5030
2986,22028691,0,3542,4999
2987,22031527,1,2836,4955
2988,22035562,0,4035,4935
2989,22038777,1,3215,4900
2990,22042923,0,4146,4884
2991,22044684,1,1761,4821
2992,22051030,0,6346,4850
2993,22056398,1,5368,4860
2994,22060249,0,3851,4839
2995,22065452,1,5203,4846
2996,22072031,0,6579,4880
2997,22077036,1,5005,4882
2998,22077479,0,443,4792
2999,22079210,1,1731,4730
3000,22081838,0,2628,4687
3001,22086872,1,5034,4693
3002,22090469,0,3597,4670
3003,22094564,1,4095,4657
3004,22097944,0,3380,4630
3005,22103563,1,5619,4649
3006,22105174,0,1611,4588
3007,22109831,1,4657,4589
3008,22113364,0,3533,4567
3009,22118938,1,5574,4586
3010,22123722,0,4784,4589
3011,22127164,1,3442,4565
3012,22129589,0,2425,4521
3013,22134270,1,4681,4523
3014,22137740,0,3470,4501
3015,22145543,1,7803,4566
3016,22147879,0,2336,4520
3017,22152737,1,4858,4526
3018,22156205,0,3468,4504
3019,22160869,1,4664,4506
3020,22164455,0,3586,4486
3021,22169417,1,4962,4495
3022,22173255,0,3838,4481
3023,22178312,1,5057,4492
3024,22182739,0,4427,4490
3025,22187789,1,5050,4501
3026,22192653,0,4864,4507
3027,22195877,1,3224,4480
3028,22197658,0,1781,4425
3029,22199567,1,1909,4374
3030,22201067,0,1500,4316
3031,22208334,1,7267,4374
3032,22213706,0,5372,4393
3033,22217126,1,3420,4373
3034,22223616,0,6490,4414
3035,22229556,1,5940,4443
3036,22233597,0,4041,4434
3037,22237424,1,3827,4421
3038,22241303,0,3879,4409
3039,22243956,1,2653,4373
3040,22251773,0,7817,4441
3041,22257528,1,5755,4467
3042,22260868,0,3340,4443
3043,22265113,1,4245,4438
3044,22269138,0,4025,4429
3045,22273310,1,4172,4423
3046,22279982,0,6672,4467
3047,22283521,1,3539,4447
3048,22285439,0,1918,4396
3049,22290357,1,4918,4406
3050,22291130,0,773,4332
3051,22292217,1,1087,4266
3052,22296446,0,4229,4264
3053,22302502,1,6056,4299
3054,22304061,0,1559,4244
3055,22307799,1,3738,4233
3056,22310897,0,3098,4209
3057,22316059,1,5162,4227
3058,22320378,0,4319,4228
3059,22325065,1,4687,4236
3060,22330560,0,5495,4260
3061,22335416,1,4856,4271
3062,22337547,0,2131,4227
3063,22342623,1,5076,4243
3064,22345733,0,3110,4220
3065,22350489,1,4756,4230
3066,22353968,0,3479,4214
3067,22354615,1,647,4141
3068,22355415,0,800,4074
3069,22359135,1,3720,4066
3070,22362125,0,2990,4043
3071,22365326,1,3201,4026
3072,22368758,0,3432,4013
3073,22372653,1,3895,4009
3074,22376400,0,3747,4002
3075,22378838,1,2438,3969
3076,22381904,0,3066,3950
3077,22385487,1,3583,3942
3078,22389256,0,3769,3938
3079,22389311,1,55,3860
3080,22392973,0,3662,3855
3081,22394625,1,1652,3810
3082,22394069,0,-556,3722
3083,22398332,1,4263,3732
3084,22403171,0,4839,3753
3085,22406815,1,3644,3749
3086,22407723,0,908,3692
3087,22411041,1,3318,3684
3088,22416186,0,5145,3712
3089,22415791,1,-395,3630
3090,22421759,0,5968,3676
3091,22428274,1,6515,3732
3092,22434180,0,5906,3775
3093,22434653,1,473,3708
3094,22436698,0,2045,3673
3095,22440503,1,3805,3675
3096,22446661,0,6158,3724
3097,22451705,1,5044,3749
3098,22458293,0,6588,3805
3099,22459108,1,815,3744
3100,22460067,0,959,3688
3101,22462760,1,2693,3667
3102,22466058,0,3298,3658
3103,22468349,1,2291,3629
3104,22468424,0,75,3557
3105,22470257,1,1833,3521
3106,22473142,0,2885,3507
3107,22477880,1,4738,3530
3108,22478663,0,783,3474
3109,22482293,1,3630,3476
3110,22487978,0,5685,3519
3111,22492693,1,4715,3542
3112,22495861,0,3168,3534
3113,22501758,1,5897,3580
3114,22504638,0,2880,3565
3115,22510469,1,5831,3609
3116,22513148,0,2679,3589
3117,22513331,1,183,3520
3118,22518930,0,5599,3560
3119,22524808,1,5878,3605
3120,22524553,0,-255,3527
3121,22527989,1,3436,3524
3122,22527785,0,-204,3449
3123,22531331,1,3546,3450
3124,22534384,0,3053,3442
3125,22536000,1,1616,3405
3126,22540262,0,4262,3421
3127,22542152,1,1890,3389
3128,22545937,0,3785,3396
3129,22550132,1,4195,3411
3130,22554751,0,4619,3434
3131,22559403,1,4652,3458
3132,22561608,0,2205,3432
3133,22564580,1,2972,3422
3134,22568259,0,3679,3426
3135,22572720,1,4461,3446
3136,22575983,0,3263,3442
3137,22577136,1,1153,3396
3138,22582612,0,5476,3437
3139,22583715,1,1103,3390
3140,22586803,0,3088,3383
3141,22588069,1,1266,3340
3142,22590996,0,2927,3331
3143,22594484,1,3488,3333
3144,22597923,0,3439,3334
3145,22600112,1,2189,3310
3146,22602168,0,2056,3284
3147,22603142,1,974,3237
3148,22607951,0,4809,3268
3149,22612076,1,4125,3284
3150,22614015,0,1939,3256
3151,22617672,1,3657,3263
3152,22620946,0,3274,3262
3153,22623283,1,2337,3242
3154,22625036,0,1753,3212
3155,22630522,1,5486,3256
3156,22633359,0,2837,3246
3157,22636323,1,2964,3240
3158,22639989,0,3666,3248
3159,22645290,1,5301,3289
3160,22651221,0,5931,3341
3161,22653008,1,1787,3309
3162,22652288,0,-720,3228
3163,22655647,1,3359,3230
3164,22659298,0,3651,3238
3165,22661541,1,2243,3217
3166,22667166,0,5625,3264
3167,22667319,1,153,3201
3168,22672279,0,4960,3235
3169,22678063,1,5784,3285
3170,22681236,0,3173,3282
3171,22684007,1,2771,3271
3172,22685249,0,1242,3229
3173,22685711,1,462,3173
3174,22687991,0,2280,3154
3175,22688818,1,827,3106
3176,22694433,0,5615,3155
3177,22697286,1,2853,3148
3178,22696601,0,-685,3072
3179,22701186,1,4585,3101
3180,22706884,0,5698,3151
3181,22708279,1,1395,3114
3182,22710800,0,2521,3101
3183,22716282,1,5482,3147
3184,22717134,0,852,3101
3185,22717912,1,778,3053
3186,22719005,0,1093,3012
3187,22720594,1,1589,2982
3188,22724655,0,4061,3003
3189,22726845,1,2190,2985
3190,22728838,0,1993,2964
3191,22733417,1,4579,2995
3192,22737969,0,4552,3026
3193,22740013,1,2044,3005
3194,22741650,0,1637,2976
3195,22746108,1,4458,3005
3196,22746096,0,-12,2944
3197,22749509,1,3413,2953
3198,22749352,0,-157,2890
3199,22749417,1,65,2833
3200,22753922,0,4505,2866
3201,22754649,1,727,2822
3202,22756987,0,2338,2811
3203,22758705,1,1718,2788
3204,22760086,0,1381,2759
3205,22764272,1,4186,2786
3206,22764252,0,-20,2730
3207,22763975,1,-277,2670
3208,22765933,0,1958,2655
3209,22770127,1,4194,2684
3210,22773637,0,3510,2700
3211,22776206,1,2569,2697
3212,22778450,0,2244,2687
3213,22779647,1,1197,2656
3214,22784997,0,5350,2709
3215,22786135,1,1138,2676
3216,22786709,0,574,2633
3217,22787854,1,1145,2602
3218,22791226,0,3372,2616
3219,22793391,1,2165,2606
3220,22799023,0,5632,2665
3221,22801250,1,2227,2655
3222,22804051,0,2801,2657
3223,22806390,1,2339,2649
3224,22809918,0,3528,2666
3225,22812718,1,2800,2668
3226,22816884,0,4166,2697
3227,22819374,1,2490,2692
3228,22821356,0,1982,2677
3229,22822306,1,950,2642
3230,22824156,0,1850,2626
3231,22824877,1,721,2587
3232,22829291,0,4414,2623
3233,22831273,1,1982,2609
3234,22832617,0,1344,2582
3235,22833735,1,1118,2552
3236,22837163,0,3428,2568
3237,22840126,1,2963,2575
3238,22843573,0,3447,2591
3239,22845996,1,2423,2587
3240,22845015,0,-981,2516
3241,22843787,1,-1228,2441
3242,22845330,0,1543,2422
3243,22845634,1,304,2379
3244,22849918,0,4284,2416
3245,22851941,1,2023,2407
3246,22853560,0,1619,2390
3247,22858618,1,5058,2443
3248,22860527,0,1909,2432
3249,22862270,1,1743,2417
3250,22862397,0,127,2370
3251,22864055,1,1658,2355
3252,22868668,0,4613,2399
3253,22870949,1,2281,2396
3254,22873164,0,2215,2392
3255,22871384,1,-1780,2309
3256,22873006,0,1622,2294
3257,22878186,1,5180,2351
3258,22879452,0,1266,2328
3259,22878964,1,-488,2272
3260,22880641,0,1677,2259
3261,22881563,1,922,2231
3262,22885168,0,3605,2258
3263,22885873,1,705,2226
3264,22886477,0,604,2193
3265,22887795,1,1318,2175
3266,22888634,0,839,2147
3267,22888482,1,-152,2101
3268,22888857,0,375,2065
3269,22890360,1,1503,2053
3270,22892012,0,1652,2044
3271,22895072,1,3060,2064
3272,22894436,0,-636,2010
3273,22896038,1,1602,2001
3274,22899684,0,3646,2032
3275,22901467,1,1783,2026
3276,22902940,0,1473,2014
3277,22904081,1,1141,1995
3278,22906252,0,2171,1998
3279,22907132,1,880,1975
3280,22909944,0,2812,1991
3281,22911284,1,1340,1977
3282,22910329,0,-955,1918
3283,22913502,1,3173,1942
3284,22917063,0,3561,1974
3285,22916903,1,-160,1931
3286,22916831,0,-72,1891
3287,22916829,1,-2,1853
3288,22917460,0,631,1827
3289,22917366,1,-94,1789
3290,22921132,0,3766,1828
3291,22920799,1,-333,1785
3292,22918325,0,-2474,1700
3293,22918593,1,268,1671
3294,22918459,0,-134,1635
3295,22919469,1,1010,1622
3296,22920844,0,1375,1616
3297,22925734,1,4890,1680
3298,22926348,0,614,1658
3299,22926564,1,216,1628
3300,22925991,0,-573,1584
3301,22925898,1,-93,1551
3302,22927980,0,2082,1560
3303,22930905,1,2925,1586
3304,22931977,0,1072,1575
3305,22931839,1,-138,1541
3306,22932444,0,605,1522
3307,22932787,1,343,1497
3308,22933416,0,629,1479
3309,22934675,1,1259,1474
3310,22938082,0,3407,1512
3311,22939084,1,1002,1501
3312,22939547,0,463,1479
3313,22939746,1,199,1452
3314,22938898,0,-848,1406
3315,22940686,1,1788,1412
3316,22945276,0,4590,1474
3317,22947332,1,2056,1485
3318,22947058,0,-274,1450
3319,22950638,1,3580,1492
3320,22951306,0,668,1475
3321,22951223,1,-83,1444
3322,22953966,0,2743,1469
3323,22951991,1,-1975,1400
3324,22951758,0,-233,1368
3325,22952808,1,1050,1361
3326,22951552,0,-1256,1308
3327,22952752,1,1200,1305
3328,22957013,0,4261,1363
3329,22955379,1,-1634,1303
3330,22955155,0,-224,1272
3331,22955723,1,568,1257
3332,22956289,0,566,1242
3333,22956369,1,80,1218
3334,22953901,0,-2468,1144
3335,22957334,1,3433,1189
3336,22956807,0,-527,1155
3337,22954640,1,-2167,1088
3338,22954071,0,-569,1055
3339,22954046,1,-25,1033
3340,22954233,0,187,1015
3341,22953570,1,-663,981
3342,22953306,0,-264,956
3343,22954408,1,1102,958
3344,22955750,0,1342,964
3345,22957599,1,1849,980
3346,22959170,0,1571,991
3347,22957252,1,-1918,933
3348,22960494,0,3242,978
3349,22960880,1,386,965
3350,22959188,0,-1692,912
3351,22959759,1,571,904
3352,22958127,0,-1632,853
3353,22957555,1,-572,824
3354,22960267,0,2712,861
3355,22961071,1,804,859
3356,22960152,0,-919,823
3357,22961006,1,854,823
3358,22963023,0,2017,846
3359,22962969,1,-54,828
3360,22966486,0,3517,881
3361,22964638,1,-1848,827
3362,22962579,0,-2059,769
3363,22965285,1,2706,807
3364,22963762,0,-1523,760
3365,22963479,0,-283,739
3366,22964801,0,1322,750
3367,22965621,0,820,751
3368,22965990,0,369,742
3369,22963658,0,-2332,681
3370,22960881,0,-2777,612
3371,22960646,0,-235,595
3372,22962112,0,1466,612
3373,22960747,0,-1365,572
3374,22964131,0,3384,627
3375,22964491,0,360,621
3376,22966847,0,2356,655
3377,22966611,0,-236,637
3378,22967741,0,1130,646
3379,22971661,0,3920,711
3380,22970360,0,-1301,670
3381,22972081,0,1721,690
3382,22972415,0,334,682
3383,22970548,0,-1867,631
3384,22972036,0,1488,647
3385,22971172,0,-864,617
3386,22969591,0,-1581,573
3387,22969744,0,153,564
3388,22970283,0,539,562
3389,22972430,0,2147,592
3390,22972458,0,28,580
3391,22970276,0,-2182,525
3392,22970815,0,539,524
3393,22970299,0,-516,503
3394,22970797,0,498,501
3395,22974928,0,4131,572
3396,22976174,0,1246,584
3397,22976573,0,399,579
3398,22977491,0,918,585
3399,22977751,0,260,578
3400,22978063,0,312,572
3401,22977529,0,-534,550
3402,22975542,0,-1987,500
3403,22978037,0,2495,539
3404,22979889,0,1852,565
3405,22979045,0,-844,537
3406,22980158,0,1113,548
3407,22980398,0,240,541
3408,22978997,0,-1401,502
3409,22980359,0,1362,518
3410,22982086,0,1727,541
3411,22981799,0,-287,525
3412,22982160,0,361,521
3413,22983342,0,1182,533
3414,22980260,0,-3082,461
3415,22979215,0,-1045,431
3416,22977843,0,-1372,395
3417,22981753,0,3910,465
3418,22979131,0,-2622,403
3419,22978224,0,-907,376
3420,22978331,0,107,370
3421,22979212,0,881,379
3422,22979806,0,594,382
3423,22980248,0,442,382
3424,22980129,0,-119,372
3425,22979651,0,-478,355
3426,22980011,0,360,354
3427,22978147,0,-1864,309
3428,22978418,0,271,307
3429,22978314,0,-104,298
3430,22978438,0,124,294
3431,22976434,0,-2004,248
3432,22979359,0,2925,301
3433,22978852,0,-507,284
3434,22978758,0,-94,277
3435,22977697,0,-1061,250
3436,22980009,0,2312,291
3437,22979615,0,-394,278
3438,22977495,0,-2120,230
3439,22980278,0,2783,280
3440,22982771,0,2493,323
3441,22984384,0,1613,348
3442,22983483,0,-901,323
3443,22982490,0,-993,297
3444,22982785,0,295,296
3445,22982869,0,84,291
3446,22981579,0,-1290,260
3447,22980011,0,-1568,223
3448,22977190,0,-2821,162
3449,22978381,0,1191,181
3450,22975202,0,-3179,114
3451,22975320,0,118,113
3452,22974531,0,-789,95
3453,22974636,0,105,95
3454,22974016,0,-620,81
3455,22977829,0,3813,155
3456,22978712,0,883,168
3457,22975715,0,-2997,105
3458,22976020,0,305,108
3459,22978731,0,2711,159
3460,22978324,0,-407,147
3461,22977711,0,-613,132
3462,22977462,0,-249,125
3463,22978679,0,1217,146
3464,22978942,0,263,148
3465,22979302,0,360,152
3466,22980186,0,884,165
3467,22978505,0,-1681,128
3468,22979049,0,544,135
3469,22977056,0,-1993,93
3470,22975657,0,-1399,64
3471,22976738,0,1081,83
3472,22977334,0,596,92
3473,22975730,0,-1604,58
3474,22976076,0,346,62
3475,22980240,0,4164,143
3476,22978989,0,-1251,115
3477,22978501,0,-488,103
3478,22978650,0,149,102
3479,22977149,0,-1501,69
3480,22974438,0,-2711,13
3481,22975928,0,1490,41
3482,22975986,0,58,41
3483,22978406,0,2420,88
3484,22979003,0,597,97
3485,22979237,0,234,99
3486,22979773,0,536,107
3487,22980052,0,279,109
3488,22980849,0,797,121
3489,22981695,0,846,134
3490,22982846,0,1151,154
3491,22985863,0,3017,210
3492,22985929,0,66,206
3493,22986349,0,420,209
3494,22984242,0,-2107,162
3495,22987322,0,3080,219
3496,22988820,0,1498,243
3497,22986994,0,-1826,202
3498,22987816,0,822,213
3499,22988092,0,276,213
3500,22988081,0,-11,208
3501,22990530,0,2449,251
3502,22991788,0,1258,270
3503,22991270,0,-518,254
3504,22994027,0,2757,303
3505,22991007,0,-3020,236
3506,22990986,0,-21,231
3507,22991610,0,624,238
3508,22991073,0,-537,223
3509,22990119,0,-954,199
3510,22991053,0,934,213
3511,22990842,0,-211,204
3512,22989028,0,-1814,163
3513,22990144,0,1116,181
3514,22990713,0,569,188
3515,22990642,0,-71,183
3516,22992492,0,1850,216
3517,22991662,0,-830,195
3518,22990827,0,-835,175
3519,22992357,0,1530,201
3520,22989889,0,-2468,147
3521,22990424,0,535,154
3522,22992162,0,1738,184
3523,22993036,0,874,197
3524,22993566,0,530,203
3525,22991707,0,-1859,161
3526,22995086,0,3379,224
3527,22994428,0,-658,206
3528,22998034,0,3606,273
3529,22996738,0,-1296,242
3530,22998118,0,1380,264
3531,22998082,0,-36,258
3532,22999306,0,1224,276
3533,22997041,0,-2265,225
3534,22994723,0,-2318,174
3535,22996047,0,1324,196
3536,22998883,0,2836,248
3537,22998985,0,102,245
3538,23000180,0,1195,263
3539,22998646,0,-1534,227
3540,22999358,0,712,236
3541,22999600,0,242,235
3542,22999139,0,-461,221
3543,23000232,0,1093,237
3544,23002186,0,1954,271
3545,23002568,0,382,272
3546,23002518,0,-50,265
3547,23002894,0,376,266
3548,23005546,0,2652,313
3549,23007436,0,1890,343
3550,23008444,0,1008,356
3551,23007977,0,-467,339
3552,23010373,0,2396,379
3553,23011005,0,632,383
3554,23010979,0,-26,375
3555,23008972,0,-2007,327
3556,23008961,0,-11,320
3557,23011060,0,2099,354
3558,23009612,0,-1448,318
3559,23010259,0,647,323
3560,23011078,0,819,332
3561,23014089,0,3011,385
3562,23013282,0,-807,361
3563,23015517,0,2235,397
3564,23013023,0,-2494,340
3565,23014004,0,981,352
3566,23013748,0,-256,339
3567,23012125,0,-1623,300
3568,23008820,0,-3305,228
3569,23009127,0,307,229
3570,23012215,0,3088,285
3571,23011936,0,-279,274
3572,23012577,0,641,280
3573,23013062,0,485,283
3574,23012264,0,-798,262
3575,23010729,0,-1535,226
3576,23009309,0,-1420,193
3577,23009810,0,501,199
3578,23009716,0,-94,194
3579,23009623,0,-93,189
3580,23008586,0,-1037,165
3581,23006103,0,-2483,112
3582,23006240,0,137,111
3583,23007019,0,779,123
3584,23007263,0,244,124
3585,23005327,0,-1936,83
3586,23005774,0,447,89
3587,23004921,0,-853,70
3588,23004909,0,-12,68
3589,23006480,0,1571,97
3590,23007004,0,524,105
3591,23007364,0,360,109
3592,23010327,0,2963,165
3593,23008142,0,-2185,118
3594,23005128,0,-3014,55
3595,23005197,0,69,54
3596,23005380,0,183,55
3597,23003318,0,-2062,12
3598,23001115,0,-2203,-33
3599,23002207,0,1092,-11
3600,23002521,0,314,-4
3601,23004735,0,2214,41
3602,23005086,0,351,47
3603,23004112,0,-974,27
3604,23004201,0,89,27
3605,23001413,0,-2788,-29
3606,23001674,0,261,-23
3607,23003179,0,1505,8
3608,23004501,0,1322,33
3609,23004626,0,125,34
3610,23002147,0,-2479,-16
3611,22998799,0,-3348,-81
3612,22998999,0,200,-75
3613,22997402,0,-1597,-104
3614,22994714,0,-2688,-154
3615,22993413,0,-1301,-176
3616,22992364,0,-1049,-192
3617,22992216,0,-148,-190
3618,22992102,0,-114,-188
3619,22991761,0,-341,-190
3620,22990671,0,-1090,-207
3621,22988271,0,-2400,-250
3622,22988498,0,227,-241
3623,22992599,0,4101,-154
3624,22994555,0,1956,-111
3625,22995384,0,829,-92
3626,22997035,0,1651,-57
3627,22999285,0,2250,-10
3628,23000822,0,1537,21
3629,23001313,0,491,29
3630,23001554,0,241,32
3631,22998739,0,-2815,-25
3632,22999112,0,373,-17
3633,22997244,0,-1868,-53
3634,23000395,0,3151,12
3635,22997842,0,-2553,-40
3636,22998141,0,299,-34
3637,22998028,0,-113,-35
3638,22997411,0,-617,-46
3639,22998327,0,916,-27
3640,22995301,0,-3026,-86
3641,22994702,0,-599,-95
3642,22992130,0,-2572,-144
3643,22993534,0,1404,-113
3644,22996120,0,2586,-59
3645,22997083,0,963,-38
3646,22997040,0,-43,-37
3647,22996153,0,-887,-53
3648,22998221,0,2068,-10
3649,23000932,0,2711,45
3650,23001256,0,324,50
3651,23001513,0,257,54
3652,22999686,0,-1827,16
3653,22999700,0,14,15
3654,23000690,0,990,33
3655,23001046,0,356,39
3656,22998230,0,-2816,-18
3657,23001194,0,2964,42
3658,23001601,0,407,49
3659,23003254,0,1653,81
3660,23004050,0,796,94
3661,23004462,0,412,100
3662,23005607,0,1145,120
3663,23005002,0,-605,105
3664,23006526,0,1524,132
3665,23007937,0,1411,157
3666,23009229,0,1292,178
3667,23010185,0,956,193
3668,23011052,0,867,206
3669,23010693,0,-359,194
3670,23011772,0,1079,211
3671,23013888,0,2116,248
3672,23014219,0,331,249
3673,23012040,0,-2179,201
3674,23013655,0,1615,228
3675,23014973,0,1318,249
3676,23018583,0,3610,316
3677,23017471,0,-1112,287
3678,23020331,0,2860,338
3679,23017542,0,-2789,276
3680,23017580,0,38,270
3681,23018582,0,1002,284
3682,23022291,0,3709,352
3683,23021180,0,-1111,322
3684,23022589,0,1409,343
3685,23022954,0,365,343
3686,23023338,0,384,343
3687,23023120,0,-218,332
3688,23024567,0,1447,353
3689,23028226,0,3659,418
3690,23027491,0,-735,395
3691,23024627,0,-2864,330
3692,23021293,0,-3334,257
3693,23020619,0,-674,238
3694,23020957,0,338,239
3695,23017619,0,-3338,168
3696,23015997,0,-1622,132
3697,23014843,0,-1154,106
3698,23017650,0,2807,159
3699,23018204,0,554,166
3700,23016032,0,-2172,119
3701,23017505,0,1473,145
3702,23019617,0,2112,184
3703,23019477,0,-140,178
3704,23017333,0,-2144,132
3705,23020159,0,2826,185
3706,23022470,0,2311,227
3707,23018795,0,-3675,149
3708,23018882,0,87,147
3709,23019863,0,981,163
3710,23019789,0,-74,158
3711,23019282,0,-507,144
3712,23019842,0,560,152
3713,23019303,0,-539,138
3714,23019466,0,163,138
3715,23015884,0,-3582,64
3716,23017149,0,1265,87
3717,23016276,0,-873,68
3718,23016802,0,526,76
3719,23016486,0,-316,68
3720,23017317,0,831,82
3721,23017797,0,480,89
3722,23018068,0,271,92
3723,23017145,0,-923,72
3724,23016791,0,-354,63
3725,23017093,0,302,67
3726,23015930,0,-1163,42
3727,23015357,0,-573,30
3728,23013863,0,-1494,0
3729,23013492,0,-371,-7
3730,23016691,0,3199,57
3731,23013536,0,-3155,-8
3732,23011675,0,-1861,-44
3733,23014746,0,3071,18
3734,23013164,0,-1582,-14
3735,23014322,0,1158,10
3736,23014310,0,-12,9
3737,23012595,0,-1715,-26
3738,23010979,0,-1616,-57
3739,23010922,0,-57,-56
3740,23011589,0,667,-41
3741,23009422,0,-2167,-83
3742,23008177,0,-1245,-105
3743,23007725,0,-452,-111
3744,23008821,0,1096,-87
3745,23007562,0,-1259,-110
3746,23007663,0,101,-105
3747,23007244,0,-419,-110
3748,23007082,0,-162,-110
3749,23006193,0,-889,-124
3750,23005410,0,-783,-136
3751,23009212,0,3802,-57
3752,23012037,0,2825,1
3753,23011186,0,-851,-17
3754,23010967,0,-219,-20
3755,23012951,0,1984,20
3756,23011709,0,-1242,-5
3757,23010541,0,-1168,-27
3758,23012615,0,2074,15
3759,23013573,0,958,33
3760,23013113,0,-460,23
3761,23013846,0,733,36
3762,23014020,0,174,38
3763,23013815,0,-205,33
3764,23015124,0,1309,58
3765,23016012,0,888,73
3766,23015000,0,-1012,51
3767,23017886,0,2886,106
3768,23020040,0,2154,146
3769,23020081,0,41,143
3770,23020563,0,482,149
3771,23020109,0,-454,137
3772,23020396,0,287,139
3773,23022875,0,2479,185
3774,23022541,0,-334,175
3775,23022828,0,287,176
3776,23021679,0,-1149,150
3777,23023853,0,2174,190
3778,23024854,0,1001,206
3779,23021900,0,-2954,142
3780,23023901,0,2001,179
3781,23024389,0,488,184
3782,23025030,0,641,192
3783,23025335,0,305,194
3784,23027667,0,2332,236
3785,23028828,0,1161,254
3786,23027539,0,-1289,223
3787,23027615,0,76,219
3788,23027262,0,-353,207
3789,23026768,0,-494,193
3790,23026550,0,-218,185
3791,23025351,0,-1199,158
3792,23025898,0,547,164
3793,23028320,0,2422,208
3794,23027223,0,-1097,182
3795,23027205,0,-18,178
3796,23025628,0,-1577,143
3797,23028277,0,2649,192
3798,23027202,0,-1075,167
3799,23027874,0,672,176
3800,23026955,0,-919,154
3801,23027198,0,243,154
3802,23029187,0,1989,189
3803,23029523,0,336,191
3804,23029908,0,385,194
3805,23032791,0,2883,247
3806,23034012,0,1221,266
3807,23032308,0,-1704,226
3808,23032314,0,6,221
3809,23032842,0,528,226
3810,23035796,0,2954,280
3811,23035543,0,-253,269
3812,23038088,0,2545,313
3813,23037616,0,-472,297
3814,23037657,0,41,291
3815,23036009,0,-1648,253
3816,23035984,0,-25,247
3817,23036306,0,322,248
3818,23037451,0,1145,265
3819,23039079,0,1628,291
3820,23040335,0,1256,310
3821,23038234,0,-2101,261
3822,23039734,0,1500,285
3823,23041096,0,1362,306
3824,23041790,0,694,312
3825,23042319,0,529,315
3826,23045239,0,2920,366
3827,23043973,0,-1266,333
3828,23045948,0,1975,365
3829,23045955,0,7,357
3830,23046231,0,276,354
3831,23049234,0,3003,406
3832,23050888,0,1654,430
3833,23050772,0,-116,419
3834,23050485,0,-287,405
3835,23050416,0,-69,395
3836,23052484,0,2068,428
3837,23053085,0,601,431
3838,23054101,0,1016,442
3839,23056224,0,2123,475
3840,23058493,0,2269,510
3841,23059541,0,1048,519
3842,23063125,0,3584,579
3843,23065250,0,2125,609
3844,23065456,0,206,600
3845,23065731,0,275,593
3846,23065111,0,-620,569
3847,23065757,0,646,569
3848,23067369,0,1612,589
3849,23067489,0,120,579
3850,23071327,0,3838,643
3851,23073244,0,1917,668
3852,23074125,0,881,671
3853,23076162,0,2037,697
3854,23077250,0,1088,704
3855,23078439,0,1189,712
3856,23080680,0,2241,741
3857,23083013,0,2333,772
3858,23085034,0,2021,796
3859,23082664,0,-2370,733
3860,23084569,0,1905,756
3861,23084653,0,84,741
3862,23085126,0,473,735
3863,23086329,0,1203,744
3864,23086430,0,101,731
3865,23088449,0,2019,756
3866,23087812,0,-637,728
3867,23088336,0,524,723
3868,23089273,0,937,726
3869,23086349,0,-2924,653
3870,23087603,0,1254,664
3871,23088245,0,642,662
3872,23087425,0,-820,632
3873,23084978,0,-2447,571
3874,23082480,0,-2498,510
3875,23082408,0,-72,498
3876,23082486,0,78,489
3877,23082273,0,-213,475
3878,23083833,0,1560,496
3879,23084760,0,927,504
3880,23084301,0,-459,484
3881,23087003,0,2702,528
3882,23088921,0,1918,555
3883,23090743,0,1822,579
3884,23093123,0,2380,614
3885,23094618,0,1495,630
3886,23093098,0,-1520,587
3887,23095155,0,2057,616
3888,23095893,0,738,617
3889,23096145,0,252,609
3890,23096458,0,313,602
3891,23097499,0,1041,609
3892,23097743,0,244,600
3893,23097790,0,47,588
3894,23095046,0,-2744,522
3895,23096413,0,1367,538
3896,23094383,0,-2030,487
3897,23094630,0,247,481
3898,23093743,0,-887,454
3899,23093730,0,-13,444
3900,23094026,0,296,440
3901,23096446,0,2420,479
3902,23095868,0,-578,458
3903,23094237,0,-1631,416
3904,23093151,0,-1086,386
3905,23093595,0,444,386
3906,23092066,0,-1529,348
3907,23090529,0,-1537,311
3908,23090866,0,337,310
3909,23093786,0,2920,361
3910,23093702,0,-84,352
3911,23094189,0,487,353
3912,23096230,0,2041,385
3913,23100366,0,4136,459
3914,23102171,0,1805,485
3915,23106067,0,3896,552
3916,23106407,0,340,546
3917,23106266,0,-141,533
3918,23106545,0,279,527
3919,23106633,0,88,517
3920,23108181,0,1548,536
3921,23106751,0,-1430,497
3922,23107639,0,888,504
3923,23109027,0,1388,520
3924,23108783,0,-244,505
3925,23109327,0,544,504
3926,23110619,0,1292,518
3927,23112727,0,2108,549
3928,23114612,0,1885,575
3929,23115239,0,627,575
3930,23115661,0,422,571
