Time (s),Alt (m),aRate (m/s)
8365,22150.94,3.61
8366,22154.63,3.80
8367,22158.31,3.62
8368,22162.03,3.54
8369,22165.73,3.65
8370,22169.23,3.46
8371,22172.81,3.30
8372,22175.96,3.12
8373,22178.97,2.85
8374,22182.03,2.94
8375,22185.28,3.17
8376,22188.62,3.28
8377,22191.86,3.31
8378,22195.04,3.25
8379,22198.21,3.22
8380,22201.27,3.09
8381,22204.40,3.10
8382,22207.49,3.31
8383,22210.72,3.16
8384,22214.10,3.25
8385,22217.47,3.31
8386,22220.91,3.36
8387,22224.35,3.39
8388,22227.90,3.44
8389,22231.32,3.42
8390,22234.81,3.62
8391,22238.42,3.72
8392,22242.10,3.93
8393,22245.89,3.83
8394,22249.56,3.34
8395,22252.91,2.94
8396,22255.59,2.65
8397,22258.21,2.51
8398,22260.86,2.69
8399,22263.83,2.92
8400,22267.00,3.20
8401,22270.38,3.27
8402,22273.66,3.24
8403,22276.84,3.20
8404,22279.99,3.13
8405,22282.88,2.88
8406,22285.65,2.67
8407,22288.28,2.43
8408,22290.35,2.20
8409,22292.33,2.06
8410,22294.03,1.79
8411,22295.73,1.71
8412,22297.37,1.75
8413,22299.20,2.05
8414,22301.56,2.33
8415,22304.17,2.80
8416,22307.36,3.39
8417,22310.84,3.64
8418,22314.61,3.60
8419,22318.53,3.50
8420,22322.22,3.47
8421,22325.56,3.38
8422,22329.09,3.47
8423,22332.56,3.62
8424,22336.16,3.60
8425,22339.83,3.65
8426,22343.38,3.40
8427,22346.55,3.05
8428,22349.32,2.76
8429,22351.94,2.56
8430,22354.55,2.50
8431,22357.18,2.68
8432,22359.95,2.98
8433,22362.99,3.26
8434,22366.28,3.36
8435,22369.69,3.35
8436,22373.07,3.30
8437,22376.49,3.17
8438,22379.93,3.22
8439,22383.25,3.15
8440,22386.59,3.30
8441,22389.89,3.30
8442,22393.25,3.38
8443,22396.61,3.32
8444,22399.89,3.19
8445,22403.05,3.05
8446,22406.05,3.01
8447,22409.14,3.08
8448,22412.23,3.11
8449,22415.39,3.03
8450,22418.66,3.00
8451,22421.70,3.01
8452,22424.57,2.86
8453,22427.36,3.01
8454,22430.14,2.94
8455,22433.62,3.65
8456,22436.63,2.96
8457,22439.84,2.83
8458,22442.98,2.97
8459,22446.30,3.28
8460,22449.68,3.52
8461,22453.14,3.40
8462,22456.75,3.61
8463,22459.89,3.24
8464,22463.02,3.04
8465,22465.79,2.81
8466,22468.45,2.80
8467,22471.17,2.77
8468,22473.97,3.09
8469,22476.93,3.36
8470,22480.23,3.52
8471,22483.62,3.50
8472,22487.04,3.26
8473,22490.58,3.16
8474,22493.70,3.23
8475,22496.71,3.14
8476,22500.02,3.20
8477,22503.41,3.32
8478,22507.00,3.49
8479,22510.54,3.44
8480,22514.01,3.47
8481,22517.45,3.53
8482,22520.93,3.80
8483,22524.86,4.05
8484,22528.77,3.91
8485,22532.91,3.78
8486,22536.73,3.59
8487,22540.28,3.50
8488,22543.77,3.31
8489,22547.05,3.22
8490,22550.22,3.23
8491,22553.32,3.23
8492,22556.71,3.41
8493,22560.13,3.48
8494,22563.57,3.58
8495,22567.09,3.57
8496,22570.74,3.56
8497,22574.42,3.64
8498,22578.19,3.72
8499,22582.01,3.80
8500,22585.73,3.82
8501,22589.41,3.71
8502,22593.09,3.73
8503,22596.98,3.82
8504,22601.01,4.08
8505,22604.95,4.05
8506,22608.92,4.01
8507,22613.02,3.77
8508,22617.05,3.72
8509,22620.95,3.65
8510,22624.65,3.67
8511,22628.14,3.61
8512,22631.61,3.63
8513,22635.07,3.65
8514,22638.66,3.68
8515,22642.43,3.77
8516,22646.22,3.77
8517,22650.18,3.96
8518,22654.18,3.95
8519,22658.03,3.97
8520,22661.99,3.98
8521,22665.84,3.91
8522,22669.95,4.00
8523,22673.87,4.15
8524,22677.91,4.20
8525,22681.95,4.32
8526,22686.19,4.37
8527,22690.37,4.41
8528,22694.51,4.18
8529,22698.65,3.92
8530,22702.66,3.78
8531,22706.60,3.84
8532,22710.41,3.81
8533,22714.24,3.95
8534,22718.13,3.87
8535,22722.14,3.96
8536,22726.25,3.76
8537,22730.07,3.55
8538,22733.33,3.16
8539,22736.45,3.08
8540,22739.60,3.21
8541,22742.83,3.50
8542,22746.27,3.68
8543,22750.12,3.97
8544,22754.20,4.14
8545,22758.46,4.39
8546,22762.83,4.28
8547,22766.94,4.32
8548,22771.16,4.31
8549,22775.21,4.18
8550,22779.23,4.00
8551,22783.10,3.94
8552,22786.93,3.95
8553,22790.82,3.97
8554,22794.84,4.18
8555,22799.15,4.51
8556,22803.73,4.35
8557,22808.18,4.41
8558,22812.58,4.36
8559,22816.85,4.27
8560,22820.86,3.92
8561,22824.55,3.69
8562,22827.97,3.54
8563,22831.33,3.52
8564,22834.91,3.51
8565,22838.59,3.68
8566,22842.66,3.98
8567,22846.96,4.25
8568,22851.54,4.48
8569,22855.94,4.43
8570,22860.22,4.31
8571,22864.40,4.21
8572,22868.54,4.15
8573,22872.89,4.33
8574,22877.29,4.35
8575,22881.70,4.47
8576,22886.20,4.45
8577,22890.53,4.41
8578,22894.81,4.33
8579,22899.03,4.23
8580,22903.13,4.05
8581,22907.32,3.99
8582,22911.31,4.13
8583,22915.12,3.99
8584,22919.07,3.97
8585,22923.01,3.96
8586,22927.01,4.07
8587,22931.30,4.14
8588,22935.83,4.44
8589,22940.31,4.52
8590,22944.87,4.60
8591,22949.36,4.46
8592,22953.76,4.31
8593,22957.84,4.08
8594,22961.78,3.80
8595,22965.46,3.54
8596,22968.83,3.41
8597,22971.99,3.22
8598,22975.36,3.39
8599,22978.78,3.67
8600,22982.60,4.03
8601,22986.73,4.32
8602,22991.23,4.78
8603,22995.76,4.70
8604,23000.13,4.17
8605,23004.21,3.95
8606,23008.02,3.61
8607,23011.82,3.55
8608,23015.40,3.50
8609,23018.84,3.47
8610,23022.51,3.77
8611,23026.58,3.93
8612,23030.52,4.06
8613,23034.50,4.11
8614,23038.51,3.96
8615,23042.45,4.00
8616,23046.31,3.91
8617,23050.02,3.70
8618,23053.91,3.73
8619,23057.92,3.86
8620,23061.92,3.92
8621,23066.02,4.01
8622,23070.03,4.11
8623,23074.09,4.24
8624,23078.34,4.36
8625,23082.66,4.01
8626,23086.49,3.90
8627,23090.33,3.69
8628,23094.20,3.59
8629,23098.30,3.93
8630,23102.26,3.88
8631,23106.45,4.01
8632,23110.61,4.06
8633,23114.84,4.01
8634,23118.82,3.82
8635,23122.48,3.59
8636,23125.88,3.58
8637,23129.52,3.59
8638,23133.40,3.75
8639,23137.25,4.02
8640,23141.28,4.19
8641,23145.43,4.21
8642,23149.49,3.94
8643,23153.31,3.82
8644,23156.92,3.69
8645,23160.42,3.80
8646,23163.97,3.75
8647,23167.73,3.67
8648,23171.64,3.81
8649,23175.68,4.01
8650,23179.77,3.92
8651,23183.66,3.69
8652,23187.00,3.23
8653,23190.37,3.41
8654,23194.09,3.48
8655,23197.72,3.55
8656,23201.41,3.79
8657,23205.32,3.97
8658,23209.46,4.16
8659,23213.76,4.10
8660,23217.67,3.69
8661,23221.39,3.57
8662,23224.92,3.44
8663,23228.31,3.47
8664,23231.68,3.43
8665,23235.06,3.65
8666,23238.59,3.84
8667,23242.34,3.86
8668,23246.24,3.72
8669,23250.09,3.63
8670,23253.51,3.31
8671,23256.60,3.00
8672,23259.58,2.85
8673,23262.41,2.87
8674,23265.37,3.01
8675,23268.61,3.11
8676,23271.89,3.32
8677,23275.35,3.57
8678,23278.88,3.73
8679,23282.60,3.71
8680,23286.13,3.52
8681,23289.63,3.55
8682,23293.20,3.64
8683,23296.81,3.63
8684,23300.38,3.73
8685,23303.97,3.86
8686,23307.84,4.03
8687,23311.66,3.75
8688,23315.55,3.41
8689,23318.90,3.12
8690,23321.96,2.91
8691,23324.88,2.93
8692,23327.73,2.98
8693,23330.76,3.15
8694,23334.15,3.46
8695,23337.90,3.80
8696,23341.54,3.65
8697,23345.10,3.54
8698,23348.47,3.20
8699,23351.52,2.89
8700,23354.17,2.56
8701,23356.49,2.36
8702,23358.69,2.21
8703,23360.59,2.09
8704,23362.67,1.99
8705,23364.86,2.20
8706,23367.28,2.45
8707,23369.61,2.71
8708,23372.39,2.77
8709,23375.41,2.93
8710,23378.31,2.75
8711,23381.23,2.78
8712,23384.05,2.73
8713,23386.88,2.81
8714,23389.58,2.74
8715,23392.30,2.75
8716,23394.97,2.74
8717,23397.86,2.94
8718,23400.89,2.98
8719,23403.91,2.94
8720,23407.00,3.05
8721,23410.09,3.01
8722,23413.08,2.78
8723,23415.86,2.59
8724,23418.35,2.52
8725,23420.74,2.61
8726,23423.22,2.56
8727,23426.06,2.62
8728,23428.47,2.65
8729,23430.92,2.59
8730,23433.71,2.79
8731,23436.50,2.78
8732,23439.48,2.95
8733,23442.45,2.97
8734,23445.41,2.93
8735,23448.36,2.98
8736,23451.36,3.05
8737,23454.35,3.01
8738,23457.32,2.98
8739,23460.33,2.76
8740,23463.00,2.58
8741,23465.64,2.53
8742,23468.05,2.45
8743,23470.64,2.53
8744,23473.34,2.72
8745,23476.19,2.79
8746,23479.13,2.93
8747,23482.25,3.04
8748,23485.45,3.21
8749,23488.62,3.13
8750,23491.63,2.92
8751,23494.35,2.58
8752,23496.89,2.48
8753,23499.33,2.39
8754,23501.67,2.49
8755,23504.07,2.47
8756,23506.60,2.72
8757,23509.29,2.95
8758,23512.15,3.11
8759,23515.17,2.94
8760,23518.26,2.86
8761,23521.17,2.81
8762,23524.10,2.82
8763,23527.00,2.82
8764,23529.79,2.76
8765,23532.57,2.80
8766,23535.36,2.86
8767,23538.18,2.79
8768,23540.96,2.95
8769,23543.91,2.95
8770,23546.82,2.96
8771,23549.84,3.14
8772,23552.87,3.10
8773,23555.91,3.07
8774,23558.83,2.97
8775,23561.60,2.95
8776,23564.30,2.77
8777,23567.01,2.59
8778,23569.66,2.66
8779,23572.45,2.58
8780,23575.23,2.58
8781,23578.00,2.82
8782,23580.99,3.04
8783,23584.12,3.27
8784,23587.47,3.44
8785,23590.86,3.43
8786,23594.23,3.41
8787,23597.37,3.13
8788,23600.37,3.05
8789,23603.41,2.93
8790,23606.39,2.83
8791,23609.31,2.85
8792,23612.34,2.97
8793,23615.45,3.11
8794,23618.72,3.25
8795,23622.00,3.36
8796,23625.23,3.30
8797,23628.50,3.09
8798,23631.69,3.07
8799,23634.71,3.07
8800,23637.73,3.00
8801,23640.77,3.02
8802,23643.91,3.04
8803,23647.16,3.05
8804,23650.40,3.22
8805,23653.69,3.26
8806,23656.91,3.29
8807,23660.32,3.38
8808,23663.71,3.42
8809,23667.21,3.51
8810,23670.58,3.39
8811,23673.93,3.27
8812,23677.18,3.08
8813,23680.36,3.20
8814,23683.47,3.30
8815,23686.67,3.32
8816,23689.94,3.34
8817,23693.35,3.36
8818,23696.71,3.40
8819,23700.15,3.61
8820,23703.70,3.45
8821,23707.23,3.39
8822,23710.66,3.31
8823,23713.99,3.17
8824,23717.16,3.18
8825,23720.36,3.10
8826,23723.55,3.12
8827,23726.69,3.14
8828,23729.93,3.27
8829,23733.20,3.48
8830,23736.68,3.46
8831,23740.23,3.58
8832,23743.89,3.60
8833,23747.41,3.54
8834,23750.75,3.54
8835,23754.12,3.64
8836,23757.70,3.61
8837,23761.35,3.50
8838,23764.95,3.62
8839,23768.75,3.78
8840,23772.52,3.79
8841,23776.47,3.92
8842,23780.46,3.92
8843,23784.47,4.07
8844,23788.32,3.85
8845,23792.09,3.77
8846,23795.64,3.62
8847,23799.05,3.44
8848,23802.36,3.30
8849,23805.56,3.15
8850,23808.70,3.04
8851,23811.76,3.04
8852,23815.01,3.16
8853,23818.14,3.29
8854,23821.73,3.58
8855,23825.23,3.78
8856,23828.98,3.93
8857,23833.00,3.85
8858,23836.92,3.81
8859,23840.70,3.67
8860,23844.28,3.56
8861,23847.78,3.50
8862,23851.28,3.44
8863,23854.94,3.49
8864,23858.53,3.61
8865,23862.20,3.65
8866,23865.79,3.71
8867,23869.35,3.74
8868,23873.02,3.72
8869,23876.74,3.81
8870,23880.41,3.69
8871,23883.97,3.54
8872,23887.52,3.67
8873,23890.80,3.34
8874,23894.23,3.42
8875,23897.71,3.30
8876,23901.03,3.20
8877,23904.30,3.27
8878,23907.50,3.30
8879,23910.85,3.47
8880,23914.17,3.52
8881,23917.55,3.42
8882,23920.90,3.33
8883,23924.20,3.31
8884,23927.41,3.29
8885,23930.62,3.28
8886,23933.95,3.28
8887,23937.27,3.19
8888,23940.55,3.23
8889,23943.65,3.14
8890,23946.73,3.23
8891,23949.86,3.06
8892,23952.91,3.08
8893,23955.80,3.16
8894,23958.74,3.12
8895,23961.76,3.02
8896,23964.93,3.11
8897,23968.15,3.23
8898,23971.35,3.33
8899,23974.60,3.28
8900,23977.83,3.38
8901,23981.05,3.20
8902,23984.24,3.17
8903,23987.31,3.09
8904,23990.23,2.96
8905,23993.10,2.90
8906,23995.93,2.94
8907,23998.85,3.09
8908,24002.00,3.02
8909,24005.05,3.04
8910,24008.19,3.19
8911,24011.31,3.22
8912,24014.72,3.36
8913,24018.00,3.13
8914,24020.89,2.90
8915,24023.67,2.86
8916,24026.64,2.89
8917,24029.56,2.81
8918,24032.35,2.88
8919,24035.46,2.83
8920,24038.48,2.95
8921,24041.52,2.92
8922,24044.56,2.90
8923,24047.61,3.10
8924,24050.75,3.19
8925,24053.94,3.19
8926,24057.14,3.15
8927,24060.36,3.10
8928,24063.45,2.92
8929,24066.47,2.84
8930,24069.32,2.80
8931,24072.11,2.71
8932,24074.68,2.50
8933,24077.14,2.45
8934,24079.70,2.44
8935,24082.23,2.54
8936,24084.75,2.61
8937,24087.36,2.66
8938,24090.08,2.60
8939,24092.75,2.61
8940,24095.50,2.74
8941,24098.37,2.81
8942,24101.38,2.88
8943,24104.28,2.89
8944,24107.26,2.92
8945,24110.26,2.93
8946,24113.28,2.92
8947,24116.23,2.94
8948,24119.22,2.92
8949,24122.20,2.89
8950,24124.96,2.79
8951,24127.82,2.89
8952,24130.69,2.72
8953,24133.44,2.74
8954,24136.09,2.69
8955,24138.80,2.59
8956,24141.41,2.45
8957,24143.88,2.43
8958,24146.41,2.49
8959,24149.00,2.55
8960,24151.63,2.66
8961,24154.37,2.80
8962,24157.16,2.77
8963,24160.04,2.80
8964,24162.93,2.91
8965,24165.88,2.94
8966,24168.75,2.84
8967,24171.49,2.77
8968,24174.04,2.66
8969,24176.55,2.54
8970,24178.96,2.34
8971,24181.33,2.26
8972,24183.71,2.29
8973,24186.09,2.25
8974,24188.52,2.34
8975,24191.02,2.49
8976,24193.55,2.51
8977,24196.02,2.49
8978,24198.59,2.57
8979,24201.19,2.55
8980,24203.73,2.60
8981,24206.31,2.55
8982,24208.89,2.50
8983,24211.46,2.39
8984,24213.89,2.40
8985,24216.34,2.43
8986,24218.76,2.38
8987,24221.20,2.41
8988,24223.65,2.54
8989,24226.04,2.55
8990,24228.57,2.66
8991,24231.17,2.43
8992,24233.75,2.56
8993,24236.41,2.46
8994,24239.07,2.60
8995,24241.84,2.70
8996,24244.59,2.64
8997,24247.27,2.65
8998,24249.89,2.54
8999,24252.31,2.41
9000,24254.64,2.42
9001,24257.02,2.36
9002,24259.34,2.36
9003,24261.67,2.22
9004,24264.02,2.38
9005,24266.41,2.44
9006,24268.96,2.59
9007,24271.52,2.69
9008,24274.12,2.70
9009,24276.72,2.56
9010,24279.14,2.60
9011,24281.58,2.60
9012,24283.96,2.52
9013,24286.33,2.20
9014,24288.55,2.04
9015,24290.61,2.00
9016,24292.55,1.89
9017,24294.44,1.79
9018,24296.33,1.78
9019,24298.19,1.84
9020,24300.04,1.82
9021,24301.92,1.91
9022,24303.83,2.03
9023,24305.88,1.99
9024,24307.98,2.08
9025,24310.06,2.07
9026,24312.13,2.04
9027,24314.20,2.03
9028,24316.18,1.95
9029,24318.04,1.77
9030,24319.86,1.80
9031,24321.64,1.62
9032,24323.26,1.63
9033,24324.76,1.40
9034,24326.16,1.46
9035,24327.52,1.51
9036,24328.88,1.39
9037,24330.20,1.22
9038,24331.47,1.13
9039,24332.71,1.12
9040,24333.97,1.20
9041,24335.20,1.18
9042,24336.45,1.24
9043,24337.70,1.13
9044,24338.93,1.12
9045,24340.03,1.07
9046,24341.12,1.10
9047,24342.25,1.17
9048,24343.45,1.27
9049,24344.76,1.24
9050,24346.19,1.34
9051,24347.50,1.35
9052,24348.83,1.32
9053,24350.19,1.33
9054,24351.61,1.42
9055,24353.07,1.48
9056,24354.47,1.44
9057,24355.90,1.43
9058,24357.38,1.58
9059,24358.84,1.64
9060,24360.34,1.55
9061,24361.77,1.32
9062,24363.05,1.29
9063,24364.39,1.41
9064,24365.66,1.23
9065,24366.92,1.23
9066,24368.05,1.16
9067,24369.16,1.14
9068,24370.28,1.19
9069,24371.34,1.11
9070,24372.33,1.04
9071,24373.32,1.06
9072,24374.34,1.19
9073,24375.38,1.28
9074,24376.57,1.18
9075,24377.84,1.17
9076,24379.02,1.20
9077,24380.23,1.19
9078,24381.49,1.35
9079,24382.85,1.34
9080,24384.35,1.54
9081,24385.77,1.54
9082,24387.33,1.61
9083,24388.94,1.82
9084,24390.75,1.70
9085,24392.51,1.70
9086,24394.32,1.77
9087,24396.08,1.75
9088,24397.82,1.84
9089,24399.53,1.86
9090,24401.15,1.74
9091,24402.70,1.42
9092,24404.16,1.33
9093,24405.56,1.36
9094,24407.08,1.34
9095,24408.57,1.37
9096,24410.01,1.48
9097,24411.58,1.55
9098,24413.08,1.56
9099,24414.75,1.71
9100,24416.44,1.77
9101,24418.18,1.81
9102,24420.00,1.84
9103,24421.88,1.90
9104,24423.80,1.92
9105,24425.83,1.96
9106,24427.77,1.94
9107,24429.67,1.91
9108,24431.58,1.98
9109,24433.47,1.88
9110,24435.26,1.82
9111,24436.93,1.69
9112,24438.60,1.75
9113,24440.30,1.86
9114,24442.05,1.92
9115,24443.81,1.77
9116,24445.62,1.73
9117,24447.48,1.74
9118,24449.39,1.78
9119,24451.19,1.86
9120,24453.01,1.90
9121,24454.92,1.91
9122,24456.95,2.01
9123,24458.92,2.12
9124,24461.02,2.15
9125,24463.18,2.15
9126,24465.27,2.18
9127,24467.51,2.24
9128,24469.56,2.15
9129,24471.52,2.11
9130,24473.50,2.06
9131,24475.45,2.08
9132,24477.46,1.92
9133,24479.41,1.81
9134,24481.21,1.78
9135,24483.00,1.64
9136,24484.85,1.90
9137,24486.63,1.86
9138,24488.55,1.98
9139,24490.64,2.10
9140,24492.75,2.17
9141,24494.98,2.12
9142,24497.29,2.25
9143,24499.56,2.20
9144,24501.78,2.31
9145,24504.19,2.27
9146,24506.51,2.29
9147,24508.73,2.28
9148,24510.83,2.16
9149,24512.76,2.10
9150,24514.60,1.97
9151,24516.35,1.67
9152,24518.07,1.65
9153,24519.89,1.64
9154,24521.63,1.72
9155,24523.46,1.61
9156,24525.17,1.67
9157,24527.02,1.83
9158,24528.85,1.85
9159,24530.73,1.89
9160,24532.68,1.95
9161,24534.49,1.92
9162,24536.62,2.09
9163,24538.67,2.07
9164,24540.63,2.09
9165,24542.64,1.98
9166,24544.76,2.02
9167,24546.81,2.06
9168,24548.89,2.15
9169,24550.97,2.12
9170,24553.01,2.16
9171,24555.00,2.05
9172,24557.08,2.05
9173,24559.06,1.96
9174,24561.18,2.28
9175,24563.48,2.20
9176,24565.72,2.18
9177,24567.75,2.11
9178,24569.82,2.13
9179,24571.84,2.14
9180,24573.91,2.11
9181,24575.84,1.91
9182,24577.69,1.99
9183,24579.58,2.08
9184,24581.53,2.06
9185,24583.44,1.65
9186,24585.45,1.81
9187,24587.44,1.90
9188,24589.25,1.86
9189,24591.06,1.86
9190,24592.89,1.83
9191,24594.70,1.93
9192,24596.52,1.89
9193,24598.61,2.04
9194,24600.78,2.04
9195,24602.97,2.06
9196,24605.08,2.03
9197,24607.30,2.11
9198,24609.45,2.23
9199,24611.44,2.18
9200,24613.41,2.17
9201,24615.45,2.17
9202,24617.47,2.12
9203,24619.50,2.08
9204,24621.39,2.03
9205,24623.32,2.06
9206,24625.26,1.86
9207,24627.20,1.90
9208,24629.14,1.89
9209,24631.04,1.86
9210,24632.79,1.79
9211,24634.53,1.81
9212,24636.13,1.72
9213,24637.70,1.70
9214,24639.23,1.73
9215,24640.73,1.69
9216,24642.41,1.60
9217,24643.92,1.59
9218,24645.66,1.97
9219,24647.34,2.01
9220,24649.18,1.77
9221,24650.93,1.79
9222,24652.76,1.71
9223,24654.57,1.77
9224,24656.35,1.76
9225,24658.06,1.89
9226,24659.89,1.80
9227,24661.56,1.84
9228,24663.53,1.90
9229,24665.48,1.89
9230,24667.30,1.84
9231,24669.03,1.88
9232,24670.92,1.95
9233,24672.92,1.93
9234,24674.91,1.95
9235,24676.91,1.98
9236,24678.86,1.87
9237,24680.77,1.84
9238,24682.48,1.91
9239,24684.32,1.84
9240,24685.99,1.85
9241,24687.82,1.89
9242,24689.75,1.83
9243,24691.63,1.78
9244,24693.44,1.85
9245,24695.24,1.90
9246,24697.07,1.73
9247,24698.90,1.78
9248,24700.65,1.80
9249,24702.37,1.79
9250,24704.14,1.78
9251,24705.87,1.77
9252,24707.53,1.77
9253,24709.22,1.77
9254,24710.92,1.73
9255,24712.55,1.68
9256,24714.20,1.66
9257,24715.80,1.64
9258,24717.37,1.53
9259,24719.04,1.52
9260,24720.44,1.34
9261,24721.91,1.44
9262,24723.50,1.44
9263,24725.05,1.52
9264,24726.51,1.47
9265,24728.00,1.54
9266,24729.61,1.56
9267,24731.19,1.53
9268,24732.79,1.67
9269,24734.39,1.68
9270,24736.00,1.71
9271,24737.65,1.73
9272,24739.31,1.70
9273,24740.99,1.67
9274,24742.62,1.71
9275,24744.26,1.70
9276,24745.91,1.66
9277,24747.57,1.72
9278,24749.26,1.71
9279,24750.92,1.71
9280,24752.55,1.60
9281,24754.18,1.67
9282,24755.73,1.63
9283,24757.18,1.67
9284,24758.65,1.53
9285,24760.09,1.39
9286,24761.45,1.18
9287,24762.65,1.07
9288,24763.75,1.04
9289,24764.85,1.06
9290,24765.91,1.10
9291,24766.92,1.08
9292,24767.91,1.05
9293,24768.97,1.12
9294,24770.02,1.07
9295,24771.02,1.08
9296,24772.08,1.11
9297,24773.24,1.09
9298,24774.33,1.09
9299,24775.35,1.03
9300,24776.28,0.98
9301,24777.27,1.00
9302,24778.17,0.90
9303,24779.10,0.94
9304,24779.99,0.92
9305,24780.92,0.90
9306,24781.74,0.82
9307,24782.51,0.73
9308,24783.15,0.55
9309,24783.73,0.52
9310,24784.23,0.50
9311,24784.73,0.45
9312,24785.20,0.46
9313,24785.64,0.36
9314,24786.05,0.41
9315,24786.40,0.36
9316,24786.75,0.29
9317,24787.12,0.29
9318,24787.51,0.32
9319,24787.81,0.32
9320,24788.17,0.34
9321,24788.52,0.29
9322,24788.86,0.45
9323,24789.23,0.45
9324,24789.59,0.36
9325,24789.89,0.32
9326,24790.23,0.31
9327,24790.60,0.27
9328,24790.95,0.31
9329,24791.28,0.34
9330,24791.61,0.29
9331,24791.87,0.28
9332,24792.16,0.33
9333,24792.44,0.28
9334,24792.74,0.27
9335,24792.99,0.27
9336,24793.23,0.31
9337,24793.52,0.21
9338,24793.75,0.24
9339,24793.97,0.22
9340,24794.21,0.20
9341,24794.54,0.32
9342,24794.84,0.30
9343,24795.15,0.27
9344,24795.43,0.26
9345,24795.68,0.26
9346,24795.90,0.36
9347,24796.09,0.30
9348,24796.39,0.35
9349,24796.71,0.23
9350,24796.95,0.12
9351,24797.22,0.19
9352,24797.55,0.23
9353,24797.79,0.19
9354,24797.97,0.19
9355,24798.16,0.24
9356,24798.46,0.27
9357,24798.67,0.13
9358,24798.82,0.17
9359,24799.02,0.21
9360,24799.20,0.24
9361,24799.41,0.22
9362,24799.61,0.23
9363,24799.79,0.18
9364,24799.97,0.21
9365,24800.14,0.19
9366,24800.39,0.22
9367,24800.61,0.16
9368,24800.84,0.20
9369,24801.06,0.19
9370,24801.23,0.19
9371,24801.49,0.24
9372,24801.73,0.26
9373,24802.04,0.28
9374,24802.33,0.21
9375,24802.61,0.33
9376,24802.95,0.36
9377,24803.39,0.35
9378,24803.77,0.31
9379,24804.18,0.45
9380,24804.62,0.54
9381,24805.12,0.47
9382,24805.68,0.43
9383,24806.19,0.44
9384,24806.69,0.43
9385,24807.16,0.47
9386,24807.72,0.50
9387,24808.22,0.51
9388,24808.73,0.45
9389,24809.27,0.50
9390,24809.77,0.51
9391,24810.20,0.48
9392,24810.71,0.49
9393,24811.13,0.44
9394,24811.57,0.50
9395,24812.03,0.48
9396,24812.51,0.39
9397,24812.99,0.54
9398,24813.46,0.37
9399,24813.92,0.38
9400,24814.29,0.35
9401,24814.61,0.36
9402,24814.97,0.35
9403,24815.31,0.31
9404,24815.53,0.26
9405,24815.75,0.35
9406,24816.04,0.37
9407,24816.31,0.28
9408,24816.51,0.09
9409,24816.66,0.11
9410,24816.83,0.16
9411,24817.02,0.18
9412,24817.17,0.15
9413,24817.34,0.21
9414,24817.52,0.25
9415,24817.75,0.28
9416,24817.93,0.25
9417,24818.21,0.40
9418,24818.57,0.28
9419,24818.83,0.27
9420,24819.09,0.31
9421,24819.38,0.31
9422,24819.71,0.37
9423,24820.02,0.38
9424,24820.34,0.43
9425,24820.67,0.45
9426,24821.17,0.51
9427,24821.60,0.50
9428,24822.13,0.50
9429,24822.71,0.52
9430,24823.21,0.58
9431,24823.70,0.67
9432,24824.29,0.67
9433,24824.99,0.56
9434,24825.67,0.54
9435,24826.33,0.53
9436,24827.07,0.56
9437,24827.80,0.70
9438,24828.51,0.71
9439,24829.22,0.65
9440,24829.91,0.73
9441,24830.65,0.77
9442,24831.39,0.78
9443,24832.18,0.75
9444,24832.94,0.79
9445,24833.76,0.83
9446,24834.54,0.75
9447,24835.30,0.78
9448,24836.06,0.79
9449,24836.84,0.75
9450,24837.58,0.80
9451,24838.38,0.83
9452,24839.08,0.81
9453,24839.87,0.85
9454,24840.70,0.79
9455,24841.45,0.80
9456,24842.16,0.76
9457,24842.91,0.74
9458,24843.70,0.75
9459,24844.43,0.66
9460,24845.16,0.74
9461,24845.91,0.78
9462,24846.62,0.69
9463,24847.32,0.79
9464,24848.08,0.74
9465,24848.83,0.79
9466,24849.62,0.85
9467,24850.33,0.66
9468,24851.02,0.68
9469,24851.80,0.73
9470,24852.55,0.76
9471,24853.27,0.74
9472,24854.01,0.76
9473,24854.70,0.74
9474,24855.45,0.75
9475,24856.21,0.81
9476,24857.02,0.91
9477,24857.89,0.86
9478,24858.65,0.81
9479,24859.45,0.80
9480,24860.23,0.86
9481,24861.06,0.92
9482,24861.92,0.83
9483,24862.77,0.77
9484,24863.55,0.77
9485,24864.45,0.86
9486,24865.35,0.91
9487,24866.30,0.97
9488,24867.24,0.93
9489,24868.17,0.96
9490,24869.16,0.96
9491,24870.28,1.04
9492,24871.33,1.07
9493,24872.31,1.11
9494,24873.34,1.13
9495,24874.36,1.09
9496,24875.41,1.07
9497,24876.54,1.10
9498,24877.70,1.21
9499,24878.84,1.15
9500,24880.02,1.19
9501,24881.24,1.22
9502,24882.38,1.16
9503,24883.53,1.21
9504,24884.66,1.22
9505,24885.83,1.21
9506,24887.05,1.24
9507,24888.37,1.24
9508,24889.62,1.29
9509,24890.92,1.23
9510,24892.16,1.25
9511,24893.37,1.23
9512,24894.60,1.29
9513,24895.95,1.33
9514,24897.21,1.28
9515,24898.45,1.27
9516,24899.63,1.35
9517,24900.91,1.39
9518,24902.25,1.33
9519,24903.57,1.26
9520,24904.83,1.19
9521,24906.08,1.19
9522,24907.29,1.26
9523,24908.50,1.19
9524,24909.75,1.32
9525,24911.08,1.28
9526,24912.34,1.26
9527,24913.67,1.25
9528,24914.98,1.33
9529,24916.13,1.21
