,Balloon Bounder Cut-Down,,,,,,,,,,,,,,,,,,,,,,,,,,
,Balloon Ascent Technologies LLC,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://loonatec.com,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SN-4.32,,,,,,,,,,,,,,,,,,,,,,,,,,
,v15,,,,,,,,,,,,,,,,,,,,,,,,,,
, Mission Elapsed Time Trigger (1 to 1080 min),,,,,,,,,,,,,,,,,,,,,,,,,,
, Min Atmospheric Pressure Trigger (8 to 1200 hPa),,,,,,,,,,,,,,,,,,,,,,,,,,
, Pressure Ascent Rate Trigger (8 to 1200 hPa: -125 to 125 Pa/s),,,,,,,,,,,,,,,,,,,,,,,,,,
, GPS Min Ascent Rate Trigger (1 to 50 km: -12.5 to 12.5 m/s),,,,,,,,,,,,,,,,,,,,,,,,,,
, GeoFence Trigger #1 (1=IB 2=IA 3=OorB 4=OorA 5=B 6=A),,,,,,,,,,,,,,,,,,,,,,,,,,
, Lon Min (-180 to 180),,,,,,,,,,,,,,,,,,,,,,,,,,
, Lon Max,,,,,,,,,,,,,,,,,,,,,,,,,,
, Lat Min (-90 to 90),,,,,,,,,,,,,,,,,,,,,,,,,,
, Lat Max,,,,,,,,,,,,,,,,,,,,,,,,,,
, Altitude (1 to 50000 m),,,,,,,,,,,,,,,,,,,,,,,,,,
, GeoFence Trigger #2 (1=IB 2=IA 3=OorB 4=OorA 5=B 6=A),,,,,,,,,,,,,,,,,,,,,,,,,,
, Lon Min (-180 to 180),,,,,,,,,,,,,,,,,,,,,,,,,,
, Lon Max,,,,,,,,,,,,,,,,,,,,,,,,,,
, Lat Min (-90 to 90),,,,,,,,,,,,,,,,,,,,,,,,,,
, Lat Max,,,,,,,,,,,,,,,,,,,,,,,,,,
, Altitude (1 to 50000 m),,,,,,,,,,,,,,,,,,,,,,,,,,
, Heater Set Point--deg below 0 (1 to 60 C),,,,,,,,,,,,,,,,,,,,,,,,,,
, Power Save Mode (1=Enabled),,,,,,,,,,,,,,,,,,,,,,,,,,
, External Trigger (1=Falling 2=Rising),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,
,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,
,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
<!-- Data -->,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time (s),SEF,HTR,BW0,BW1,MET,MAP,PAR,GAR,GF1,GF2,EXT,Pres (hPa),dP (hPa/line),Temp (C),Batt (V),Cap (V),GPS Flag (HEX),GPS SV,Lon,Lat,Alt (m),Date,Time,gSpeed (m/s),aRate (m/s),aFilt (m/s),heading (deg)
2,,,,,,,,,,,,984.31,-9.5,3.5,3.31,3.31,0,0,,,,,,,,,
4,,,,,,,,,,,,984.28,-9.21,3.6,3.31,3.31,0,0,,,,,,,,,
6,,,,,,,,,,,,984.23,-8.94,3.6,3.31,3.31,0,0,,,,,,,,,
8,,,,,,,,,,,,984.26,-8.67,3.7,3.31,3.31,0,0,,,,,,,,,
10,,,,,,,,,,,,984.31,-8.41,3.8,3.31,3.31,0,0,,,,,,,,,
12,,,,,,,,,,,,984.29,-8.16,3.9,3.31,3.29,0,0,,,,,,,,,
14,,,,,,,,,,,,984.31,-7.91,3.9,3.31,3.29,0,0,,,,,,,,,
16,,,,,,,,,,,,984.25,-7.67,3.9,3.31,3.29,0,0,,,,,,,,,
18,,,,,,,,,,,,984.33,-7.44,4,3.31,3.29,0,0,,,,,,,,,
20,,,,,,,,,,,,984.38,-7.22,4,3.31,3.29,0,0,,,,,,,,,
22,,,,,,,,,,,,984.39,-7,4.1,3.3,3.29,0,0,,,,,,,,,
24,,,,,,,,,,,,984.25,-6.79,4.1,3.3,3.29,0,0,,,,,,,,,
26,,,,,,,,,,,,984.35,-6.59,4.2,3.3,3.29,0,0,,,,,,,,,
28,,,,,,,,,,,,984.42,-6.39,4.2,3.3,3.29,0,0,,,,,,,,,
30,,,,,,,,,,,,984.55,-6.19,4.2,3.3,3.29,0,0,,,,,,,,,
32,,,,,,,,,,,,984.29,-6.01,4.2,3.28,3.28,0,0,,,,,,,,,
34,,,,,,,,,,,,984.41,-5.83,4.3,3.28,3.28,0,0,,,,,,,,,
36,,,,,,,,,,,,984.07,-5.67,4.3,3.28,3.28,0,0,,,,,,,,,
38,,,,,,,,,,,,984.31,-5.49,4.3,3.28,3.28,0,0,,,,,,,,,
40,,,,,,,,,,,,984.41,-5.32,4.4,3.28,3.28,0,0,,,,,,,,,
42,,,,,,,,,,,,984.36,-5.16,4.4,3.3,3.26,0,0,,,,,,,,,
44,,,,,,,,,,,,984.28,-5.01,4.5,3.3,3.26,0,0,,,,,,,,,
46,,,,,,,,,,,,984.34,-4.86,4.5,3.3,3.26,0,0,,,,,,,,,
48,,,,,,,,,,,,984.2,-4.72,4.5,3.3,3.26,0,0,,,,,,,,,
50,,,,,,,,,,,,984.5,-4.57,4.7,3.3,3.26,0,0,,,,,,,,,
52,,,,,,,,,,,,984.28,-4.44,4.7,3.28,3.26,0,0,,,,,,,,,
54,,,,,,,,,,,,984.2,-4.31,4.8,3.28,3.26,0,0,,,,,,,,,
56,,,,,,,,,,,,984.4,-4.17,4.8,3.28,3.26,0,0,,,,,,,,,
58,,,,,,,,,,,,984.55,-4.04,4.8,3.28,3.26,0,0,,,,,,,,,
60,,,,,,,,,,,,984.3,-3.93,4.9,3.28,3.26,0,0,,,,,,,,,
62,,,,,,,,,,,,984.56,-3.8,4.9,3.26,3.25,0,0,,,,,,,,,
64,,,,,,,,,,,,984.43,-3.69,4.9,3.26,3.25,0,0,,,,,,,,,
66,,,,,,,,,,,,984.36,-3.58,4.9,3.26,3.25,0,0,,,,,,,,,
68,,,,,,,,,,,,984.54,-3.47,5,3.26,3.25,0,0,,,,,,,,,
70,,,,,,,,,,,,984.33,-3.37,5,3.26,3.25,0,0,,,,,,,,,
72,,,,,,,,,,,,984.28,-3.27,5,3.28,3.26,0,0,,,,,,,,,
74,,,,,,,,,,,,984.59,-3.16,5.1,3.28,3.26,0,0,,,,,,,,,
76,,,,,,,,,,,,984.39,-3.08,5.1,3.28,3.26,0,0,,,,,,,,,
78,,,,,,,,,,,,984.3,-2.99,5.1,3.28,3.26,0,0,,,,,,,,,
80,,,,,,,,,,,,984.39,-2.89,5.1,3.28,3.26,0,0,,,,,,,,,
82,,,,,,,,,,,,984.45,-2.81,5.1,3.27,3.24,0,0,,,,,,,,,
84,,,,,,,,,,,,984.37,-2.72,5.2,3.27,3.24,0,0,,,,,,,,,
86,,,,,,,,,,,,984.39,-2.64,5.2,3.27,3.24,0,0,,,,,,,,,
88,,,,,,,,,,,,984.49,-2.56,5.2,3.27,3.24,0,0,,,,,,,,,
90,,,,,,,,,,,,984.5,-2.48,5.3,3.27,3.24,0,0,,,,,,,,,
92,,,,,,,,,,,,984.52,-2.41,5.3,3.24,3.25,0,0,,,,,,,,,
94,,,,,,,,,,,,984.45,-2.34,5.3,3.24,3.25,0,0,,,,,,,,,
96,,,,,,,,,,,,984.56,-2.26,5.3,3.24,3.25,0,0,,,,,,,,,
98,,,,,,,,,,,,984.44,-2.2,5.3,3.24,3.25,0,0,,,,,,,,,
100,,,,,,,,,,,,984.42,-2.13,5.4,3.24,3.25,0,0,,,,,,,,,
102,,,,,,,,,,,,984.45,-2.07,5.4,3.25,3.24,0,0,,,,,,,,,
104,,,,,,,,,,,,984.38,-2.01,5.4,3.25,3.24,0,0,,,,,,,,,
106,,,,,,,,,,,,984.28,-1.95,5.4,3.25,3.24,0,0,,,,,,,,,
108,,,,,,,,,,,,984.37,-1.89,5.4,3.25,3.24,0,0,,,,,,,,,
110,,,,,,,,,,,,984.3,-1.84,5.4,3.25,3.24,0,0,,,,,,,,,
112,,,,,,,,,,,,984.29,-1.78,5.5,3.24,3.25,0,0,,,,,,,,,
114,,,,,,,,,,,,984.39,-1.72,5.5,3.24,3.25,0,0,,,,,,,,,
116,,,,,,,,,,,,984.55,-1.67,5.6,3.24,3.25,0,0,,,,,,,,,
118,,,,,,,,,,,,984.43,-1.62,5.5,3.24,3.25,0,0,,,,,,,,,
120,,,,,,,,,,,,984.46,-1.57,5.6,3.24,3.25,0,0,,,,,,,,,
122,,,,,,,,,,,,984.39,-1.53,5.6,3.26,3.23,0,0,,,,,,,,,
124,,,,,,,,,,,,984.43,-1.48,5.6,3.26,3.23,0,0,,,,,,,,,
126,,,,,,,,,,,,984.28,-1.44,5.6,3.26,3.23,0,0,,,,,,,,,
128,,,,,,,,,,,,984.5,-1.39,5.6,3.26,3.23,0,0,,,,,,,,,
130,,,,,,,,,,,,984.54,-1.35,5.7,3.26,3.23,0,0,,,,,,,,,
132,,,,,,,,,,,,984.36,-1.31,5.7,3.26,3.23,0,0,,,,,,,,,
134,,,,,,,,,,,,984.2,-1.28,5.7,3.26,3.23,0,0,,,,,,,,,
136,,,,,,,,,,,,984.2,-1.24,5.7,3.26,3.23,0,0,,,,,,,,,
138,,,,,,,,,,,,984.55,-1.19,5.8,3.26,3.23,0,0,,,,,,,,,
140,,,,,,,,,,,,984.62,-1.15,5.8,3.26,3.23,0,0,,,,,,,,,
142,,,,,,,,,,,,984.5,-1.12,5.9,3.26,3.22,0,0,,,,,,,,,
144,,,,,,,,,,,,984.8,-1.08,5.9,3.26,3.22,0,0,,,,,,,,,
146,,,,,,,,,,,,984.62,-1.05,5.9,3.26,3.22,0,0,,,,,,,,,
148,,,,,,,,,,,,984.75,-1.02,6,3.26,3.22,0,0,,,,,,,,,
150,,,,,,,,,,,,984.53,-0.99,6,3.26,3.22,0,0,,,,,,,,,
152,,,,,,,,,,,,984.49,-0.97,6,3.24,3.23,0,0,,,,,,,,,
154,,,,,,,,,,,,984.43,-0.94,6,3.24,3.23,0,0,,,,,,,,,
156,,,,,,,,,,,,984.32,-0.91,6,3.24,3.23,0,0,,,,,,,,,
158,,,,,,,,,,,,984.64,-0.88,6,3.24,3.23,0,0,,,,,,,,,
160,,,,,,,,,,,,984.35,-0.86,6,3.24,3.23,0,0,,,,,,,,,
162,,,,,,,,,,,,984.45,-0.83,6,3.25,3.24,0,0,,,,,,,,,
164,,,,,,,,,,,,984.23,-0.81,6,3.25,3.24,0,0,,,,,,,,,
166,,,,,,,,,,,,984.45,-0.78,6,3.25,3.24,0,0,,,,,,,,,
167,,,,,,,,,,,,984.4,-0.76,6.1,3.25,3.24,0,4,,,,,,,,,
168,,,,,,,,,,,,984.47,-0.73,6.1,3.25,3.24,0,4,,,,,,,,,
169,,,,,,,,,,,,984.41,-0.71,6.1,3.25,3.24,0,4,,,,,,,,,
170,,,,,,,,,,,,984.49,-0.69,6.1,3.25,3.24,0,5,,,,,,,,,
171,,,,,,,,,,,,984.3,-0.67,6.1,3.24,3.24,0,5,,,,,,,,,
172,,,,,,,,,,,,984.33,-0.65,6.1,3.24,3.24,0,5,,,,,,,,,
173,,,,,,,,,,,,984.48,-0.63,6.1,3.24,3.24,0,5,,,,,,,,,
174,,,,,,,,,,,,984.54,-0.61,6.1,3.24,3.24,0,5,,,,,,,,,
175,,,,,,,,,,,,984.56,-0.59,6.1,3.24,3.24,0,5,,,,,,,,,
176,,,,,,,,,,,,984.55,-0.57,6.1,3.24,3.24,0,5,,,,,,,,,
177,,,,,,,,,,,,984.49,-0.56,6.1,3.24,3.24,0,5,,,,,,,,,
178,,,,,,,,,,,,984.4,-0.54,6.1,3.24,3.24,0,5,,,,,,,,,
179,,,,,,,,,,,,984.35,-0.53,6.1,3.24,3.24,0,5,,,,,,,,,
180,,,,,,,,,,,,984.3,-0.51,6.1,3.24,3.24,0,5,,,,,,,,,
181,,,,,,,,,,,,984.53,-0.49,6.1,3.24,3.22,0,5,,,,,,,,,
182,,,,,,,,,,,,984.48,-0.48,6.1,3.24,3.22,0,5,,,,,,,,,
183,,,,,,,,,,,,984.51,-0.46,6.1,3.24,3.22,0,5,,,,,,,,,
184,,,,,,,,,,,,984.61,-0.45,6.1,3.24,3.22,0,5,,,,,,,,,
