Time (s),SEF,HTR,BW0,BW1,MET,MAP,MAR,GAR,GAT,GEO,EXT,Pres (hPa),dP (hPa/line),Temp (C),Batt (V),Cap (V),GPS Flag (HEX),GPS SV,Lon,Lat,Alt (m),Date,Time,gSpeed (m/s),aRate (m/s),aFilt (m/s),heading (deg)
2,,,,,,,,,,,,992.37,-9.27,37,0,3.62,0,0,,,,,,,,,
4,,,,,,,,,,,,992.24,-8.99,36.9,0,3.62,0,0,,,,,,,,,
6,,,,,,,,,,,,992.02,-8.73,36.9,0,3.62,0,0,,,,,,,,,
8,,,,,,,,,,,,992.26,-8.46,36.9,0,3.62,0,0,,,,,,,,,
10,,,,,,,,,,,,992.22,-8.21,36.9,0,3.62,0,0,,,,,,,,,
12,,,,,,,,,,,,992.24,-7.96,36.9,0,3.57,0,0,,,,,,,,,
14,,,,,,,,,,,,992.22,-7.72,36.9,0,3.57,0,0,,,,,,,,,
16,,,,,,,,,,,,992.27,-7.49,37,0,3.57,0,0,,,,,,,,,
18,,,,,,,,,,,,992.29,-7.26,37,0,3.57,0,0,,,,,,,,,
20,,,,,,,,,,,,992.16,-7.05,37,0,3.57,0,0,,,,,,,,,
22,,,,,,,,,,,,992.27,-6.83,37,0,3.56,0,0,,,,,,,,,
24,,,,,,,,,,,,992.16,-6.63,37,0,3.56,0,0,,,,,,,,,
26,,,,,,,,,,,,992.28,-6.43,37,0,3.56,0,0,,,,,,,,,
28,,,,,,,,,,,,992.22,-6.24,37.1,0,3.56,0,0,,,,,,,,,
30,,,,,,,,,,,,992.37,-6.05,37.1,0,3.56,0,0,,,,,,,,,
32,,,,,,,,,,,,992.26,-5.87,37.1,0,3.57,0,0,,,,,,,,,
34,,,,,,,,,,,,992.27,-5.69,37.1,0,3.57,0,0,,,,,,,,,
36,,,,,,,,,,,,992.05,-5.53,37.1,0,3.57,0,0,,,,,,,,,
38,,,,,,,,,,,,992.22,-5.36,37.1,0,3.57,0,0,,,,,,,,,
39,,,,,,,,,,,,992.24,-5.2,37.1,0,3.57,0,5,,,,,,,,,
40,,,,,,,,,,,,992.18,-5.04,37.1,0,3.57,1,5,-76.86138,39.60282,240.17,20230528,13:32:02,0.13,0.12,0.01,0
42,,,,,,,,,,,,992.38,-4.89,37.2,0,3.5,1,5,-76.86138,39.60282,240.83,20230528,13:32:04,0.04,0.1,0.01,0
43,,,,,,,,,,,,992.05,-4.75,37.2,0,3.5,1,5,-76.86138,39.60283,241.37,20230528,13:32:05,0.03,-0.19,0.01,0
44,,,,,,,,,,,,992.22,-4.6,37.2,0,3.5,1,5,-76.86138,39.60284,241.82,20230528,13:32:06,0.05,-0.06,0,0
45,,,,,,,,,,,,992.16,-4.46,37.2,0,3.5,1,5,-76.86138,39.60284,242.79,20230528,13:32:07,0.01,0.02,0,0
46,,,,,,,,,,,,992.27,-4.33,37.2,0,3.5,1,5,-76.86138,39.60284,241.49,20230528,13:32:08,0.02,0.15,0.01,0
47,,,,,,,,,,,,992.44,-4.19,37.2,0,3.5,1,5,-76.86138,39.60284,240.18,20230528,13:32:09,0.05,0.1,0.01,0
48,,,,,,,,,,,,992.1,-4.08,37.2,0,3.5,1,5,-76.86138,39.60283,238.88,20230528,13:32:10,0.04,0.11,0.01,0
49,,,,,,,,,,,,992.18,-3.95,37.2,0,3.5,1,5,-76.86138,39.60283,238.62,20230528,13:32:11,0,0.2,0.02,0
50,,,,,,,,,,,,992.31,-3.83,37.2,0,3.5,1,7,-76.86138,39.60282,231.29,20230528,13:32:11,0.07,0.15,0.02,0
51,,,,,,,,,,,,992.17,-3.72,37.2,0,3.53,1,7,-76.86138,39.60282,227.62,20230528,13:32:12,0.06,0.37,0.03,0
52,,,,,,,,,,,,992.35,-3.6,37.2,0,3.53,1,7,-76.86138,39.60282,225.29,20230528,13:32:13,0.02,0.31,0.04,0
53,,,,,,,,,,,,992.25,-3.5,37.2,0,3.53,1,7,-76.86138,39.60282,223.12,20230528,13:32:14,0.04,0.01,0.04,0
54,,,,,,,,,,,,992.35,-3.39,37.2,0,3.53,1,7,-76.86138,39.60282,222.06,20230528,13:32:15,0.01,0,0.04,0
55,,,,,,,,,,,,992.08,-3.3,37.2,0,3.53,1,7,-76.86138,39.60282,221.19,20230528,13:32:16,0.04,0.05,0.04,0
56,,,,,,,,,,,,992.25,-3.19,37.2,0,3.53,1,7,-76.86138,39.60282,220.45,20230528,13:32:17,0.02,0.06,0.04,0
57,,,,,,,,,,,,992.36,-3.09,37.2,0,3.53,1,7,-76.86138,39.60282,219.74,20230528,13:32:18,0.03,0.09,0.04,0
58,,,,,,,,,,,,992.07,-3.01,37.2,0,3.53,1,7,-76.86138,39.60282,219.63,20230528,13:32:19,0.08,0.2,0.05,0
59,,,,,,,,,,,,992.3,-2.91,37.2,0,3.53,1,7,-76.86138,39.60282,219.56,20230528,13:32:20,0.06,0.25,0.05,0
60,,,,,,,,,,,,992.23,-2.83,37.2,0,3.53,1,7,-76.86138,39.60282,219.74,20230528,13:32:21,0.09,0.29,0.06,0
61,,,,,,,,,,,,992.34,-2.74,37.2,0,3.51,1,7,-76.86138,39.60281,219.55,20230528,13:32:22,0.05,0.42,0.07,0
62,,,,,,,,,,,,992.37,-2.66,37.2,0,3.51,1,7,-76.86138,39.60281,219.56,20230528,13:32:23,0.04,0.43,0.08,0
63,,,,,,,,,,,,992.25,-2.58,37.2,0,3.51,1,7,-76.86138,39.60281,219.33,20230528,13:32:24,0.01,0.09,0.08,0
64,,,,,,,,,,,,992.27,-2.5,37.2,0,3.51,1,7,-76.86138,39.60281,218.85,20230528,13:32:25,0.08,0.02,0.08,0
65,,,,,,,,,,,,992.11,-2.43,37.2,0,3.51,1,7,-76.86138,39.60281,218.41,20230528,13:32:26,0.04,0.02,0.08,0
66,,,,,,,,,,,,992.23,-2.35,37.2,0,3.51,1,7,-76.86138,39.60281,218.12,20230528,13:32:27,0.02,0.07,0.08,0
67,,,,,,,,,,,,992.14,-2.29,37.2,0,3.51,1,7,-76.86138,39.60281,217.88,20230528,13:32:28,0.03,0.11,0.08,0
68,,,,,,,,,,,,992.44,-2.21,37.2,0,3.51,1,7,-76.86138,39.60281,217.52,20230528,13:32:29,0.17,0.07,0.08,0
69,,,,,,,,,,,,992.21,-2.15,37.2,0,3.51,1,7,-76.86138,39.60281,217.05,20230528,13:32:30,0.03,0.12,0.08,0
70,,,,,,,,,,,,992.36,-2.08,37.2,0,3.51,1,7,-76.86138,39.60281,216.6,20230528,13:32:31,0.07,0.13,0.08,0
71,,,,,,,,,,,,992.25,-2.02,37.2,0,3.5,1,7,-76.86138,39.60281,216.32,20230528,13:32:32,0.12,0.41,0.09,0
72,,,,,,,,,,,,992.2,-1.96,37.2,0,3.5,1,7,-76.86138,39.60281,216.16,20230528,13:32:33,0.09,0.46,0.1,0
73,,,,,,,,,,,,992.23,-1.9,37.2,0,3.5,1,7,-76.86138,39.60281,215.9,20230528,13:32:34,0.03,0.11,0.1,0
74,,,,,,,,,,,,992.35,-1.84,37.2,0,3.5,1,7,-76.86138,39.60281,215.5,20230528,13:32:35,0.06,0,0.1,0
75,,,,,,,,,,,,992.17,-1.79,37.2,0,3.5,1,7,-76.86138,39.60281,215.26,20230528,13:32:36,0.06,-0.01,0.09,0
76,,,,,,,,,,,,992.22,-1.74,37.2,0,3.5,1,7,-76.86138,39.60281,215.25,20230528,13:32:37,0.04,0.03,0.09,0
77,,,,,,,,,,,,992.16,-1.69,37.2,0,3.5,1,7,-76.86139,39.60281,215.27,20230528,13:32:38,0.12,0.21,0.1,0
78,,,,,,,,,,,,992.18,-1.64,37.2,0,3.5,1,7,-76.86139,39.60281,215.21,20230528,13:32:39,0.09,0.26,0.1,0
79,,,,,,,,,,,,992.23,-1.58,37.2,0,3.5,1,7,-76.86139,39.60281,215.18,20230528,13:32:40,0.08,0.32,0.11,0
80,,,,,,,,,,,,992.35,-1.53,37.2,0,3.5,1,7,-76.86139,39.60281,214.9,20230528,13:32:41,0.07,0.32,0.11,0
81,,,,,,,,,,,,992.19,-1.49,37.2,0,3.53,1,7,-76.86138,39.60281,214.44,20230528,13:32:42,0.1,0.46,0.12,0
82,,,,,,,,,,,,992.32,-1.44,37.2,0,3.53,1,7,-76.86139,39.6028,214.07,20230528,13:32:43,0.13,0.43,0.13,0
83,,,,,,,,,,,,992.17,-1.4,37.3,0,3.53,1,7,-76.86138,39.6028,213.8,20230528,13:32:44,0.05,0.15,0.13,0
84,,,,,,,,,,,,992.26,-1.36,37.3,0,3.53,1,7,-76.86139,39.6028,213.77,20230528,13:32:45,0.08,-0.07,0.13,0
85,,,,,,,,,,,,992.2,-1.32,37.3,0,3.53,1,7,-76.86139,39.6028,213.59,20230528,13:32:46,0.08,0.02,0.12,0
86,,,,,,,,,,,,992.16,-1.28,37.2,0,3.53,1,7,-76.86139,39.6028,213.62,20230528,13:32:47,0.07,0.06,0.12,0
87,,,,,,,,,,,,992.22,-1.24,37.3,0,3.53,1,7,-76.86139,39.60281,213.73,20230528,13:32:48,0.06,0.12,0.12,0
88,,,,,,,,,,,,992.06,-1.21,37.2,0,3.53,1,7,-76.86139,39.60281,213.89,20230528,13:32:49,0.02,0.12,0.12,0
89,,,,,,,,,,,,992.33,-1.17,37.3,0,3.53,1,7,-76.86139,39.60281,214.18,20230528,13:32:50,0.1,0.21,0.12,0
90,,,,,,,,,,,,992.1,-1.14,37.2,0,3.53,1,7,-76.86139,39.60281,214.11,20230528,13:32:51,0.1,0.25,0.13,0
91,,,,,,,,,,,,992.23,-1.1,37.3,0,3.5,1,7,-76.86139,39.60281,214.35,20230528,13:32:52,0.08,0.38,0.14,0
92,,,,,,,,,,,,992.34,-1.06,37.3,0,3.5,1,7,-76.86139,39.60281,214.54,20230528,13:32:53,0.08,0.48,0.15,0
93,,,,,,,,,,,,992.3,-1.03,37.3,0,3.5,1,7,-76.86139,39.60281,214.8,20230528,13:32:54,0.12,0.21,0.15,0
94,,,,,,,,,,,,992.27,-1,37.2,0,3.5,1,8,-76.86139,39.60281,215.34,20230528,13:32:55,0.07,0.03,0.14,0
95,,,,,,,,,,,,992.17,-0.98,37.2,0,3.5,1,8,-76.86139,39.60281,215.7,20230528,13:32:56,0.07,-0.05,0.14,0
96,,,,,,,,,,,,992.19,-0.95,37.3,0,3.5,1,8,-76.86139,39.60281,215.92,20230528,13:32:57,0.04,-0.11,0.13,0
97,,,,,,,,,,,,992.27,-0.91,37.3,0,3.5,1,8,-76.86139,39.60281,215.99,20230528,13:32:58,0.08,0.04,0.13,0
98,,,,,,,,,,,,992.27,-0.89,37.2,0,3.5,1,8,-76.86139,39.60281,216.29,20230528,13:32:59,0.06,0.24,0.13,0
99,,,,,,,,,,,,992.07,-0.87,37.2,0,3.5,1,8,-76.86139,39.60281,216.26,20230528,13:33:00,0.07,0.32,0.14,0
100,,,,,,,,,,,,992.08,-0.84,37.3,0,3.5,1,8,-76.86139,39.60281,216.32,20230528,13:33:01,0.06,0.36,0.14,0
101,,,,,,,,,,,,992.08,-0.82,37.3,0,3.49,1,8,-76.86139,39.60281,216.21,20230528,13:33:02,0.12,0.65,0.16,0
102,,,,,,,,,,,,992.15,-0.79,37.3,0,3.49,1,8,-76.86139,39.6028,215.78,20230528,13:33:03,0.14,0.68,0.17,0
103,,,,,,,,,,,,992.19,-0.76,37.3,0,3.49,1,8,-76.86139,39.6028,215.54,20230528,13:33:04,0.05,0.37,0.18,0
104,,,,,,,,,,,,992.19,-0.74,37.3,0,3.49,1,8,-76.86139,39.6028,215.68,20230528,13:33:05,0.05,0.06,0.18,0
105,,,,,,,,,,,,992.06,-0.72,37.3,0,3.49,1,8,-76.86139,39.6028,215.53,20230528,13:33:06,0.06,-0.01,0.17,0
106,,,,,,,,,,,,992.11,-0.7,37.3,0,3.49,1,9,-76.86139,39.6028,215.52,20230528,13:33:07,0.03,0.05,0.17,0
107,,,,,,,,,,,,992.12,-0.68,37.3,0,3.49,1,9,-76.86139,39.6028,215.55,20230528,13:33:08,0.02,0,0.16,0
108,,,,,,,,,,,,992.31,-0.65,37.3,0,3.49,1,9,-76.86139,39.6028,215.44,20230528,13:33:09,0.02,0.02,0.16,0
109,,,,,,,,,,,,992.28,-0.63,37.3,0,3.49,1,9,-76.86139,39.6028,215.3,20230528,13:33:10,0.02,0.02,0.15,0
110,,,,,,,,,,,,992.24,-0.62,37.3,0,3.49,1,9,-76.86139,39.6028,215.4,20230528,13:33:11,0.04,0.04,0.15,0
111,,,,,,,,,,,,992.1,-0.6,37.3,0,3.49,1,9,-76.86139,39.6028,215.48,20230528,13:33:12,0.03,-0.1,0.14,0
112,,,,,,,,,,,,992.29,-0.58,37.4,0,3.49,1,9,-76.86139,39.6028,215.66,20230528,13:33:13,0.04,0.12,0.14,0
113,,,,,,,,,,,,992.15,-0.56,37.3,0,3.49,1,9,-76.86139,39.6028,215.97,20230528,13:33:14,0.03,-0.11,0.13,0
114,,,,,,,,,,,,992.29,-0.54,37.3,0,3.49,1,9,-76.8614,39.6028,216.01,20230528,13:33:15,0.08,-0.08,0.13,0
115,,,,,,,,,,,,992.4,-0.52,37.3,0,3.49,1,9,-76.8614,39.6028,216.05,20230528,13:33:16,0.05,0.01,0.12,0
116,,,,,,,,,,,,992.37,-0.51,37.4,0,3.49,1,9,-76.8614,39.6028,216.03,20230528,13:33:17,0.05,0.25,0.13,0
117,,,,,,,,,,,,992.23,-0.5,37.3,0,3.49,1,9,-76.8614,39.6028,216.15,20230528,13:33:18,0.15,0.36,0.13,0
118,,,,,,,,,,,,992.27,-0.48,37.3,0,3.49,1,9,-76.8614,39.6028,216.34,20230528,13:33:19,0.08,0.21,0.14,0
119,,,,,,,,,,,,992.18,-0.47,37.3,0,3.49,1,9,-76.8614,39.6028,216.41,20230528,13:33:20,0.02,0.06,0.13,0
120,,,,,,,,,,,,992.2,-0.46,37.4,0,3.49,1,9,-76.8614,39.6028,216.63,20230528,13:33:21,0.03,0.14,0.13,0
121,,,,,,,,,,,,992.36,-0.44,37.3,0,3.46,1,9,-76.8614,39.6028,216.67,20230528,13:33:22,0.09,0.23,0.14,0
122,,,,,,,,,,,,992.23,-0.43,37.4,0,3.46,1,9,-76.8614,39.6028,216.72,20230528,13:33:23,0.19,0.5,0.15,0
123,,,,,,,,,,,,992.14,-0.42,37.4,0,3.46,1,9,-76.8614,39.6028,216.85,20230528,13:33:24,0.06,0.37,0.15,0
124,,,,,,,,,,,,992.27,-0.4,37.4,0,3.46,1,9,-76.8614,39.6028,216.83,20230528,13:33:25,0.09,0.02,0.15,0
125,,,,,,,,,,,,992.19,-0.39,37.3,0,3.46,1,9,-76.8614,39.60279,216.79,20230528,13:33:26,0.05,-0.08,0.14,0
126,,,,,,,,,,,,992.13,-0.38,37.4,0,3.46,1,9,-76.86141,39.60279,216.73,20230528,13:33:27,0.07,-0.11,0.14,0
127,,,,,,,,,,,,992.2,-0.37,37.4,0,3.46,1,9,-76.86141,39.60279,216.68,20230528,13:33:28,0.02,-0.09,0.13,0
128,,,,,,,,,,,,992.18,-0.36,37.4,0,3.46,1,9,-76.86141,39.60279,216.7,20230528,13:33:29,0.08,-0.03,0.12,0
129,,,,,,,,,,,,992.52,-0.34,37.4,0,3.46,1,9,-76.86141,39.60279,216.68,20230528,13:33:30,0.06,-0.07,0.12,0
130,,,,,,,,,,,,992.19,-0.34,37.3,0,3.46,1,9,-76.86141,39.60279,216.64,20230528,13:33:31,0.1,-0.07,0.11,0
131,,,,,,,,,,,,991.98,-0.33,37.4,0,3.48,1,9,-76.8614,39.60279,216.65,20230528,13:33:32,0.02,0.05,0.11,0
132,,,,,,,,,,,,991.94,-0.32,37.4,0,3.48,1,9,-76.8614,39.60279,216.81,20230528,13:33:33,0.03,0.14,0.11,0
133,,,,,,,,,,,,992.31,-0.3,37.4,0,3.48,1,9,-76.86141,39.60279,216.79,20230528,13:33:34,0.05,0.25,0.12,0
134,,,,,,,,,,,,992.26,-0.3,37.4,0,3.48,1,9,-76.8614,39.60279,217.13,20230528,13:33:35,0.18,0.12,0.12,0
135,,,,,,,,,,,,992.23,-0.29,37.4,0,3.48,1,9,-76.8614,39.60279,217.43,20230528,13:33:36,0.02,-0.05,0.11,0
136,,,,,,,,,,,,992.3,-0.28,37.4,0,3.48,1,9,-76.8614,39.6028,217.27,20230528,13:33:37,0.04,-0.14,0.1,0
137,,,,,,,,,,,,992.23,-0.27,37.4,0,3.48,1,9,-76.8614,39.60279,217.04,20230528,13:33:38,0.03,-0.1,0.1,0
138,,,,,,,,,,,,991.96,-0.27,37.4,0,3.48,1,9,-76.8614,39.60279,216.83,20230528,13:33:39,0.01,-0.04,0.09,0
139,,,,,,,,,,,,992.29,-0.25,37.4,0,3.48,1,9,-76.8614,39.60279,216.81,20230528,13:33:40,0.09,-0.18,0.09,0
140,,,,,,,,,,,,992.15,-0.25,37.4,0,3.48,1,9,-76.8614,39.60279,216.78,20230528,13:33:41,0.05,-0.05,0.08,0
141,,,,,,,,,,,,992.3,-0.24,37.4,0,3.48,1,9,-76.8614,39.60279,216.63,20230528,13:33:42,0.01,0.12,0.08,0
142,,,,,,,,,,,,992.26,-0.23,37.5,0,3.48,1,9,-76.86141,39.60279,216.56,20230528,13:33:43,0.12,0.5,0.1,0
143,,,,,,,,,,,,992.46,-0.22,37.4,0,3.48,1,9,-76.8614,39.60279,216.74,20230528,13:33:44,0.08,0.12,0.1,0
144,,,,,,,,,,,,991.88,-0.23,37.4,0,3.48,1,9,-76.8614,39.60279,216.8,20230528,13:33:45,0.02,0.06,0.1,0
145,,,,,,,,,,,,992.05,-0.22,37.5,0,3.48,1,9,-76.86141,39.60279,216.61,20230528,13:33:46,0.08,0.26,0.1,0
146,,,,,,,,,,,,992.15,-0.21,37.4,0,3.48,1,9,-76.86141,39.60279,216.53,20230528,13:33:47,0.09,0.27,0.11,0
147,,,,,,,,,,,,992.03,-0.2,37.4,0,3.48,1,9,-76.86141,39.60279,216.53,20230528,13:33:48,0.05,-0.08,0.1,0
148,,,,,,,,,,,,992.29,-0.19,37.4,0,3.48,1,9,-76.86141,39.60279,216.47,20230528,13:33:49,0.07,-0.11,0.09,0
149,,,,,,,,,,,,992.3,-0.18,37.5,0,3.48,1,9,-76.86141,39.60279,216.48,20230528,13:33:50,0.01,-0.06,0.09,0
150,,,,,,,,,,,,992.27,-0.18,37.4,0,3.48,1,9,-76.86141,39.60279,216.28,20230528,13:33:51,0.03,0.08,0.09,0
151,,,,,,,,,,,,992.25,-0.18,37.5,0,3.47,1,9,-76.86141,39.60279,216.28,20230528,13:33:52,0.04,0.16,0.09,0
152,,,,,,,,,,,,992.22,-0.17,37.5,0,3.47,1,9,-76.86141,39.60279,216.06,20230528,13:33:53,0.11,0.1,0.09,0
153,,,,,,,,,,,,992.16,-0.17,37.4,0,3.47,1,9,-76.86141,39.60279,215.84,20230528,13:33:54,0.07,0.1,0.09,0
154,,,,,,,,,,,,992.42,-0.15,37.5,0,3.47,1,9,-76.86141,39.60279,215.86,20230528,13:33:55,0.07,0.23,0.1,0
155,,,,,,,,,,,,992.11,-0.16,37.5,0,3.47,1,9,-76.86141,39.60279,215.74,20230528,13:33:56,0.13,0.44,0.11,0
156,,,,,,,,,,,,992.25,-0.15,37.5,0,3.47,1,9,-76.86141,39.60279,215.81,20230528,13:33:57,0.03,0.1,0.11,0
157,,,,,,,,,,,,992.1,-0.15,37.5,0,3.47,1,9,-76.86141,39.60279,215.88,20230528,13:33:58,0.11,-0.28,0.09,0
158,,,,,,,,,,,,992.24,-0.14,37.5,0,3.47,1,9,-76.86141,39.60279,215.8,20230528,13:33:59,0.08,-0.32,0.08,0
159,,,,,,,,,,,,992.26,-0.14,37.5,0,3.47,1,9,-76.86141,39.60279,215.65,20230528,13:34:00,0.06,-0.14,0.08,0
160,,,,,,,,,,,,992.22,-0.13,37.5,0,3.47,1,9,-76.86141,39.60279,215.62,20230528,13:34:01,0.04,0,0.07,0
161,,,,,,,,,,,,992.27,-0.13,37.5,0,3.44,1,9,-76.86141,39.60279,215.51,20230528,13:34:02,0.02,0.07,0.07,0
162,,,,,,,,,,,,992.16,-0.13,37.5,0,3.44,1,9,-76.86141,39.60279,215.76,20230528,13:34:03,0.1,0.11,0.07,0
163,,,,,,,,,,,,992.14,-0.12,37.5,0,3.44,1,9,-76.86141,39.60279,216,20230528,13:34:04,0.11,0.13,0.08,0
164,,,,,,,,,,,,992.13,-0.12,37.5,0,3.44,1,9,-76.86141,39.60279,216.05,20230528,13:34:05,0.07,0.19,0.08,0
165,,,,,,,,,,,,992.09,-0.12,37.5,0,3.44,1,9,-76.86141,39.60279,216.04,20230528,13:34:06,0.18,0.43,0.09,0
166,,,,,,,,,,,,992.24,-0.11,37.5,0,3.44,1,9,-76.86141,39.60279,216.21,20230528,13:34:07,0.12,0.31,0.1,0
167,,,,,,,,,,,,992.27,-0.11,37.5,0,3.44,1,9,-76.86141,39.60279,216.26,20230528,13:34:08,0.09,-0.14,0.09,0
168,,,,,,,,,,,,992.28,-0.1,37.5,0,3.44,1,10,-76.86141,39.60279,216.31,20230528,13:34:09,0.15,-0.13,0.08,0
169,,,,,,,,,,,,991.92,-0.11,37.5,0,3.44,1,10,-76.86141,39.60279,216.31,20230528,13:34:10,0.04,-0.1,0.08,0
170,,,,,,,,,,,,992.29,-0.1,37.5,0,3.44,1,10,-76.86141,39.60279,216.33,20230528,13:34:11,0.04,-0.05,0.07,0
171,,,,,,,,,,,,992.39,-0.09,37.6,0,3.45,1,10,-76.86141,39.60279,216.37,20230528,13:34:12,0.03,0.09,0.07,0
172,,,,,,,,,,,,992.11,-0.1,37.5,0,3.45,1,10,-76.86141,39.60279,216.58,20230528,13:34:13,0.06,0.14,0.08,0
173,,,,,,,,,,,,992.14,-0.09,37.6,0,3.45,1,10,-76.86141,39.60279,216.88,20230528,13:34:14,0.05,0.14,0.08,0
174,,,,,,,,,,,,991.97,-0.09,37.5,0,3.45,1,10,-76.86141,39.60279,216.97,20230528,13:34:15,0.07,0.22,0.08,0
175,,,,,,,,,,,,992.16,-0.09,37.6,0,3.45,1,10,-76.86141,39.60279,216.96,20230528,13:34:16,0.05,0.38,0.09,0
176,,,,,,,,,,,,992.19,-0.08,37.6,0,3.45,1,10,-76.86141,39.60279,217.09,20230528,13:34:17,0.03,0.09,0.09,0
177,,,,,,,,,,,,992.43,-0.07,37.6,0,3.45,1,10,-76.86141,39.60279,217.08,20230528,13:34:18,0.03,-0.07,0.09,0
178,,,,,,,,,,,,992.29,-0.08,37.6,0,3.45,1,11,-76.86141,39.60279,217.24,20230528,13:34:19,0.05,-0.17,0.08,0
179,,,,,,,,,,,,992.05,-0.08,37.6,0,3.45,1,11,-76.8614,39.60279,217.35,20230528,13:34:20,0.05,-0.05,0.07,0
180,,,,,,,,,,,,992.28,-0.07,37.6,0,3.45,1,11,-76.8614,39.60279,217.78,20230528,13:34:21,0.49,-0.11,0.07,103
181,,,,,,,,,,,,992.13,-0.07,37.6,0,3.43,1,11,-76.8614,39.60279,217.66,20230528,13:34:22,0.16,0.14,0.07,103
182,,,,,,,,,,,,992.05,-0.07,37.6,0,3.43,1,11,-76.86139,39.60279,218.26,20230528,13:34:23,0.73,0.57,0.09,119
183,,,,,,,,,,,,992.3,-0.06,37.6,0,3.43,1,11,-76.86138,39.60279,218.67,20230528,13:34:24,0.01,-0.04,0.08,119
184,,,,,,,,,,,,992.22,-0.06,37.6,0,3.43,1,11,-76.86139,39.60279,218.85,20230528,13:34:25,0.43,-0.13,0.08,119
185,,,,,,,,,,,,992.13,-0.06,37.6,0,3.43,1,11,-76.86139,39.60279,219.05,20230528,13:34:26,0.11,0.43,0.09,119
186,,,,,,,,,,,,992.15,-0.06,37.6,0,3.43,1,11,-76.86139,39.60279,219.15,20230528,13:34:27,0.3,-0.05,0.08,119
187,,,,,,,,,,,,991.93,-0.07,37.5,0,3.43,1,11,-76.86139,39.60279,219.62,20230528,13:34:28,0.1,-0.33,0.07,119
188,,,,,,,,,,,,992.08,-0.06,37.5,0,3.43,1,11,-76.86139,39.60279,219.57,20230528,13:34:29,0.06,-0.17,0.06,119
189,,,,,,,,,,,,992.08,-0.06,37.5,0,3.43,1,11,-76.8614,39.60279,219.37,20230528,13:34:30,0.03,0.09,0.06,119
190,,,,,,,,,,,,992.25,-0.05,37.5,0,3.43,1,11,-76.8614,39.60279,219.28,20230528,13:34:31,0.22,0.26,0.07,119
191,,,,,,,,,,,,992.09,-0.06,37.5,0,3.43,1,11,-76.8614,39.60279,219.6,20230528,13:34:32,0.24,0.18,0.07,119
192,,,,,,,,,,,,992.13,-0.05,37.5,0,3.43,1,11,-76.8614,39.60279,219.58,20230528,13:34:33,0.14,0.47,0.08,119
193,,,,,,,,,,,,992.31,-0.05,37.5,0,3.43,1,11,-76.86139,39.60279,219.91,20230528,13:34:34,0.28,0.58,0.1,119
194,,,,,,,,,,,,992.07,-0.05,37.5,0,3.43,1,11,-76.86139,39.60279,219.98,20230528,13:34:35,0.09,0.47,0.11,119
195,,,,,,,,,,,,991.94,-0.05,37.5,0,3.43,1,11,-76.86139,39.60279,219.77,20230528,13:34:36,0.06,0.63,0.13,119
196,,,,,,,,,,,,992.21,-0.04,37.5,0,3.43,1,11,-76.8614,39.60279,219.59,20230528,13:34:37,0.11,0.23,0.13,119
197,,,,,,,,,,,,992.08,-0.05,37.5,0,3.43,1,11,-76.8614,39.60279,219.73,20230528,13:34:38,0.04,-0.06,0.12,119
198,,,,,,,,,,,,992.31,-0.04,37.5,0,3.43,1,11,-76.8614,39.60279,219.94,20230528,13:34:39,0.08,-0.04,0.12,119
199,,,,,,,,,,,,992.33,-0.04,37.4,0,3.43,1,11,-76.8614,39.6028,220.19,20230528,13:34:40,0.05,0.06,0.12,119
200,,,,,,,,,,,,992.12,-0.04,37.5,0,3.43,1,11,-76.86139,39.6028,220.33,20230528,13:34:41,0.06,0.17,0.12,119
201,,,,,,,,,,,,992.2,-0.04,37.4,0,3.42,1,11,-76.86139,39.6028,220.41,20230528,13:34:42,0.07,0.13,0.12,119
202,,,,,,,,,,,,992.05,-0.04,37.4,0,3.42,1,11,-76.86139,39.6028,220.33,20230528,13:34:43,0.02,0.12,0.12,119
203,,,,,,,,,,,,992.18,-0.04,37.4,0,3.42,1,11,-76.86139,39.6028,220.61,20230528,13:34:44,0.06,0.22,0.12,119
204,,,,,,,,,,,,991.97,-0.04,37.4,0,3.42,1,11,-76.86139,39.6028,221.01,20230528,13:34:45,0.12,0.2,0.12,119
205,,,,,,,,,,,,992.22,-0.03,37.4,0,3.42,1,11,-76.86139,39.6028,221.15,20230528,13:34:46,0.14,0.4,0.13,119
206,,,,,,,,,,,,992.21,-0.03,37.4,0,3.42,1,11,-76.86139,39.6028,221.48,20230528,13:34:47,0.06,0.3,0.14,119
207,,,,,,,,,,,,992.21,-0.03,37.4,0,3.42,1,11,-76.86139,39.6028,221.38,20230528,13:34:48,0.07,-0.13,0.13,119
208,,,,,,,,,,,,992.08,-0.03,37.4,0,3.42,1,11,-76.86139,39.6028,221.54,20230528,13:34:49,0.03,-0.03,0.12,119
209,,,,,,,,,,,,992.14,-0.03,37.4,0,3.42,1,11,-76.8614,39.6028,221.71,20230528,13:34:50,0.06,0.05,0.12,119
210,,,,,,,,,,,,992.07,-0.03,37.4,0,3.42,1,11,-76.8614,39.6028,221.76,20230528,13:34:51,0.05,0.03,0.12,119
211,,,,,,,,,,,,992.23,-0.03,37.4,0,3.42,1,11,-76.8614,39.6028,221.52,20230528,13:34:52,0.03,0.05,0.12,119
212,,,,,,,,,,,,992.09,-0.03,37.4,0,3.42,1,11,-76.8614,39.6028,221.33,20230528,13:34:53,0.05,0.01,0.11,119
